row_label_raw,row_label_full,col_0,Vốn điều lệTriệu đồng,Thặng dưvốn cổ phầnTriệu đồng,Quỹ dự trữbổ sungvốn điều lệTriệu đồng,Quỹ dựphòng tài chínhTriệu đồng,Quỹ đầu tưphát triểnTriệu đồng,Lợi nhuậnchưa phân phốiTriệu đồng,Cổ phiếuquỹTriệu đồng,Tổng cộngTriệu đồng,numeric__Vốn điều lệTriệu đồng,numeric__Thặng dưvốn cổ phầnTriệu đồng,numeric__Quỹ dự trữbổ sungvốn điều lệTriệu đồng,numeric__Quỹ dựphòng tài chínhTriệu đồng,numeric__Quỹ đầu tưphát triểnTriệu đồng,numeric__Lợi nhuậnchưa phân phốiTriệu đồng,numeric__Cổ phiếuquỹTriệu đồng,numeric__Tổng cộngTriệu đồng
Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,67.434.236,-,958.922,7.374.191,722.930,19.940.792,(883.466),95.547.605,67434236.0,,958922.0,7374191.0,722930.0,19940792.0,-883466.0,95547605.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,10.765.943,-,10.765.943,,,,,,10765943.0,,10765943.0
Phát hành cổ phiếu đề tăng vốn cổ phần,Phát hành cổ phiếu đề tăng vốn cổ phần,Phát hành cổ phiếu đề tăng vốn cổ phần,11.905.000,23.992.546,-,-,-,-,-,35.897.546,11905000.0,23992546.0,,,,,,35897546.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,538.297,1.076.594,-,(1.614.891),-,-,,,538297.0,1076594.0,,-1614891.0,,
Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,-,-,-,(292.890),-,-,-,(292.890),,,,-292890.0,,,,-292890.0
Điều chuyển quỹ đầu tư phát triển sang thẳng dư vốn cổ phần,Điều chuyển quỹ đầu tư phát triển sang thẳng dư vốn cổ phần,Điều chuyển quỹ đầu tư phát triển sang thẳng dư vốn cổ phần,-,581.270,-,-,(581.270),-,-,-,,581270.0,,,-581270.0,,,
Phát hành cổ phiếu cho nhân viên tử cổ phiếu quỹ theo ESOP,Phát hành cổ phiếu cho nhân viên tử cổ phiếu quỹ theo ESOP,Phát hành cổ phiếu cho nhân viên tử cổ phiếu quỹ theo ESOP,-,(581.270),-,-,-,-,883.466,302.196,,-581270.0,,,,,883466.0,302196.0
Chia cổ tức năm 2022 cho cổ đông,Chia cổ tức năm 2022 cho cổ đông,Chia cổ tức năm 2022 cho cổ đông,-,-,-,-,-,(7.933.924),-,(7.933.924),,,,,,-7933924.0,,-7933924.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,(133.492),-,(133.492),,,,,,-133492.0,,-133492.0
Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,79.339.236,23.992.546,1.497.219,8.157.895,141.660,21.024.428,-,134.152.984,79339236.0,23992546.0,1497219.0,8157895.0,141660.0,21024428.0,,134152984.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,14.640.976,-,14.640.976,,,,,,14640976.0,,14640976.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,1.442.341,1.442.341,-,(2.884.682),-,-,,,1442341.0,1442341.0,,-2884682.0,,
Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,-,-,-,(571.259),-,-,-,(571.259),,,,-571259.0,,,,-571259.0
Chia cổ tức năm 2023 cho cổ đông,Chia cổ tức năm 2023 cho cổ đông,Chia cổ tức năm 2023 cho cổ đông,-,-,-,-,-,(7.933.924),-,(7.933.924),,,,,,-7933924.0,,-7933924.0
Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,79.339.236,23.992.546,2.939.560,9.028.977,141.660,24.846.798,-,140.288.777,79339236.0,23992546.0,2939560.0,9028977.0,141660.0,24846798.0,,140288777.0
