row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Đến 1.thángTriệu đồng,Từ 1 - 3thángTriệu đồng,Từ 3 - 6thángTriệu đồng,Từ 6 - 12thángTriệu đồng,Từ 1 - 5 nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Khôngchịu lãiTriệu đồng,numeric__Đến 1.thángTriệu đồng,numeric__Từ 1 - 3thángTriệu đồng,numeric__Từ 3 - 6thángTriệu đồng,numeric__Từ 6 - 12thángTriệu đồng,numeric__Từ 1 - 5 nămTriệu đồng,numeric__Trên 5nămTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,2.148.289,-,-,-,-,-,-,2.148.289,,2148289.0,,,,,,,2148289.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,13.733.896,-,-,-,-,-,-,13.733.896,,13733896.0,,,,,,,13733896.0
Tiền gửi và cấp tín dụng cho các TCTD khác - gộp,Tài sản > Tiền gửi và cấp tín dụng cho các TCTD khác - gộp,Tiền gửi và cấp tín dụng cho các TCTD khác - gộp,-,-,138.697.194,15.757.331,1.965.854,200.818,-,-,156.621.197,,,138697194.0,15757331.0,1965854.0,200818.0,,,156621197.0
Cho vay khách hàng và mua nợ - gộp,Tài sản > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,10.344.377,-,281.951.643,148.287.747,68.191.075,85.322.229,27.600.228,367.900,622.065.199,10344377.0,,281951643.0,148287747.0,68191075.0,85322229.0,27600228.0,367900.0,622065199.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,720.000,1.008.284,7.077.842,6.115.449,1.900.000,1.031.919,7.322.681,25.941.026,51.117.201,720000.0,1008284.0,7077842.0,6115449.0,1900000.0,1031919.0,7322681.0,25941026.0,51117201.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,22.323.000,-,-,-,-,-,-,22.323.000,,22323000.0,,,,,,,22323000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.693.650,-,-,-,-,-,-,1.693.650,,1693650.0,,,,,,,1693650.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,182.026,21.403.744,-,-,-,-,-,-,21.585.770,182026.0,21403744.0,,,,,,,21585770.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,11.246.403,62.310.863,427.726.679,170.160.527,72.056.929,86.554.966,34.922.909,26.308.926,891.288.202,11246403.0,62310863.0,427726679.0,170160527.0,72056929.0,86554966.0,34922909.0,26308926.0,891288202.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,5.713,-,-,-,-,-,5.713,,,5713.0,,,,,,5713.0
"Tiền gửi và vay các TCTC, TCTD khác","Nợ phải trả > Tiền gửi và vay các TCTC, TCTD khác","Tiền gửi và vay các TCTC, TCTD khác",-,-,127.517.416,21.103.448,31.710.610,9.860.154,-,-,190.191.628,,,127517416.0,21103448.0,31710610.0,9860154.0,,,190191628.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,160.519.977,121.754.807,126.298.197,67.488.308,9.673.616,832,485.735.737,,,160519977.0,121754807.0,126298197.0,67488308.0,9673616.0,832.0,485735737.0
Các công cụ tài chính phải sinh và các khoản nợtài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợtài chính khác,Các công cụ tài chính phải sinh và các khoản nợtài chính khác,-,-,11.306.700,295.652,(300.447),(3.182.132),(8.087.560),-,32.213,,,11306700.0,295652.0,-300447.0,-3182132.0,-8087560.0,,32213.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủiro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủiro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủiro",-,-,-,10.894,-,-,-,-,10.894,,,,10894.0,,,,,10894.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,2.910.000,1.767.000,17.930.000,19.000.000,4.989.226,-,46.596.226,,,2910000.0,1767000.0,17930000.0,19000000.0,4989226.0,,46596226.0
Các khoản nợ khác:,Nợ phải trả > Các khoản nợ khác:,Các khoản nợ khác:,-,16.974.628,-,-,-,-,-,-,16.974.628,,16974628.0,,,,,,,16974628.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,16.974.628,302.259.806,144.931.801,175.638.360,93.166.330,6.575.282,832,739.547.039,,16974628.0,302259806.0,144931801.0,175638360.0,93166330.0,6575282.0,832.0,739547039.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,11.246.403,45.336.235,125.466.873,25.228.726,(103.581.431),(6.611.364),28.347.627,26.308.094,151.741.163,11246403.0,45336235.0,125466873.0,25228726.0,-103581431.0,-6611364.0,28347627.0,26308094.0,151741163.0
Mức chênh nhạy cảm với lãi suất ngoại bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất ngoại bảng,Mức chênh nhạy cảm với lãi suất ngoại bảng,-,-,10.888.233,(1.914.030),803.487,(2.366.749),(8.217.177),-,(806.236),,,10888233.0,-1914030.0,803487.0,-2366749.0,-8217177.0,,-806236.0
"Mức chênh nhạy cảm với lãi suất nội, ngoạibàng","Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội, ngoạibàng","Mức chênh nhạy cảm với lãi suất nội, ngoạibàng",11.246.403,45.336.235,136.355.106,23.314.696,(102.777.944),(8.978.113),20.130.450,26.308.094,150.934.927,11246403.0,45336235.0,136355106.0,23314696.0,-102777944.0,-8978113.0,20130450.0,26308094.0,150934927.0
