row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng12 năm 2024Triệu đồng,Ngày 31 tháng12 năm 2023Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng12 năm 2024Triệu đồng,numeric__Ngày 31 tháng12 năm 2023Triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,2.148.289,2.284.990,5.0,2148289.0,2284990.0
"Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")","TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")","Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")",6,13.733.896,7.891.943,6.0,13733896.0,7891943.0
"Tiền gửi và cấp tín dụng cho các tổ chức tín dụng (""TCTD"") khác","TÀI SẢN > Tiền gửi và cấp tín dụng cho các tổ chức tín dụng (""TCTD"") khác","Tiền gửi và cấp tín dụng cho các tổ chức tín dụng (""TCTD"") khác",,156.621.197,109.129.247,,156621197.0,109129247.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,7.1,148.504.815,96.334.542,71.0,148504815.0,96334542.0
Cấp tín dụng cho các TCTD khác,TÀI SẢN > Cấp tín dụng cho các TCTD khác,Cấp tín dụng cho các TCTD khác,7.2,8.116.382,12.794.705,72.0,8116382.0,12794705.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,-,581.548,8.0,,581548.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,-,581.548,,,581548.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,604.781.762,488.029.291,,604781762.0,488029291.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,10,615.879.792,496.409.738,10.0,615879792.0,496409738.0
