row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động Triệu đồng,Giá trị ghi sổ > Giữ đến ngày đáo hạn Triệu đồng,Giá trị ghi sổ > Cho vay và phải thu Triệu đồng,Giá trị ghi sổ > Sẵn sàng để bán Triệu đồng,Giá trị ghi sổ > Tài sản và nợ khác hạch toán theo giá trị phân bổ Triệu đồng,Giá trị ghi sổ > Tổng cộng giá trị ghi sổ Triệu đồng,Giá trị hợp lý Triệu đồng,numeric__Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động Triệu đồng,numeric__Giá trị ghi sổ > Giữ đến ngày đáo hạn Triệu đồng,numeric__Giá trị ghi sổ > Cho vay và phải thu Triệu đồng,numeric__Giá trị ghi sổ > Sẵn sàng để bán Triệu đồng,numeric__Giá trị ghi sổ > Tài sản và nợ khác hạch toán theo giá trị phân bổ Triệu đồng,numeric__Giá trị ghi sổ > Tổng cộng giá trị ghi sổ Triệu đồng,numeric__Giá trị hợp lý Triệu đồng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,2.148.289,-,-,2.148.289,2.148.289,,,2148289.0,,,2148289.0,2148289.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,13.733.896,-,-,13.733.896,(*),,,13733896.0,,,13733896.0,
Tiền gửi tại các TCTD khác và cho vay các TCTD khác – gộp,Tiền gửi tại các TCTD khác và cho vay các TCTD khác – gộp,Tiền gửi tại các TCTD khác và cho vay các TCTD khác – gộp,-,-,156.621.197,-,-,156.621.197,(*),,,156621197.0,,,156621197.0,
Cho vay khách hàng và mua nợ – gộp,Cho vay khách hàng và mua nợ – gộp,Cho vay khách hàng và mua nợ – gộp,-,-,622.065.199,-,-,622.065.199,(*),,,622065199.0,,,622065199.0,
Chứng khoán sẵn sàng để bán – gộp,Chứng khoán sẵn sàng để bán – gộp,Chứng khoán sẵn sàng để bán – gộp,-,-,-,50.124.274,-,50.124.274,(*),,,,50124274.0,,50124274.0,
Chứng khoán nấm giữ đến ngày đảo hạn – gộp,Chứng khoán nấm giữ đến ngày đảo hạn – gộp,Chứng khoán nấm giữ đến ngày đảo hạn – gộp,-,992.927,-,-,-,992.927,,,992927.0,,,,992927.0,
"Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,-,-,189.210,-,189.210,(*),,,,189210.0,,189210.0,
Tài sản tài chính khác – gộp,Tài sản tài chính khác – gộp,Tài sản tài chính khác – gộp,869.227,-,14.564.823,934.709,-,16.368.759,(*),869227.0,,14564823.0,934709.0,,16368759.0,
,,,869.227,992.927,809.133.404,51.248.193,-,862.243.751,,869227.0,992927.0,809133404.0,51248193.0,,862243751.0,
Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,-,5.713,5.713,(*),,,,,5713.0,5713.0,
"Tiền gửi và vay các TCTC, các TCTD khác","Tiền gửi và vay các TCTC, các TCTD khác","Tiền gửi và vay các TCTC, các TCTD khác",-,-,-,-,190.191.628,190.191.628,(*),,,,,190191628.0,190191628.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,485.735.737,485.735.737,(*),,,,,485735737.0,485735737.0,
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,32.213,-,-,-,-,32.213,(*),32213.0,,,,,32213.0,
"Vốn tài trợ, ủy thác đầu tư TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư TCTD chịu rủi ro",-,-,-,-,10.894,10.894,(*),,,,,10894.0,10894.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,46.596.226,46.596.226,(*),,,,,46596226.0,46596226.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,940.158,-,-,-,13.324.011,14.264.169,(*),940158.0,,,,13324011.0,14264169.0,
,,,972.371,-,-,-,735.864.209,736.836.580,,972371.0,,,,735864209.0,736836580.0,
