row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộngTriệu đồng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộngTriệu đồng
,,,Trên 3thángTriệu đồng,Dếnt 3thángTriệu đồng,Dếnt 1thángTriệu đồng,Từ 1 đến 3thángTriệu đồng,Từ 3 đến 12thángTriệu đồng,Từ 1 đến 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,2.148.289,-,-,-,-,2.148.289,,,2148289.0,,,,,2148289.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,13.733.896,-,-,-,-,13.733.896,,,13733896.0,,,,,13733896.0
Tiền gửi và cấp tín dụng cho các TCTD khác - gộp,Tài sản > Tiền gửi và cấp tín dụng cho các TCTD khác - gộp,Tiền gửi và cấp tín dụng cho các TCTD khác - gộp,-,-,138.697.195,15.757.331,2.166.671,-,-,156.621.197,,,138697195.0,15757331.0,2166671.0,,,156621197.0
Cho vay khách hàng và mua nợ - gộp,Tài sản > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,5.865.789,4.478.588,58.757.805,58.835.376,203.540.765,197.047.588,93.539.288,622.065.199,5865789.0,4478588.0,58757805.0,58835376.0,203540765.0,197047588.0,93539288.0,622065199.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,720.000,-,4.939.198,3.640.307,2.379.804,13.464.947,25.972.945,51.117.201,720000.0,,4939198.0,3640307.0,2379804.0,13464947.0,25972945.0,51117201.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,-,22.323.000,22.323.000,,,,,,,22323000.0,22323000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,1.693.650,1.693.650,,,,,,,1693650.0,1693650.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,182.026,-,16.574.439,478.079,4.351.226,-,-,21.585.770,182026.0,,16574439.0,478079.0,4351226.0,,,21585770.0
