row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng12 năm 2024Triệu đồng,Ngày 31 tháng12 năm 2023Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng12 năm 2024Triệu đồng,numeric__Ngày 31 tháng12 năm 2023Triệu đồng
Nghĩa vụ tiềm ẩn và các cam kết đưa ra,Nghĩa vụ tiềm ẩn và các cam kết đưa ra,Nghĩa vụ tiềm ẩn và các cam kết đưa ra,38,676.706.260,640.901.195,38.0,676706260.0,640901195.0
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,,848.721,1.754.978,,848721.0,1754978.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,,294.393.922,298.229.425,,294393922.0,298229425.0
- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,,2.972.620,264.965,,2972620.0,264965.0
- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,,1.955.905,992.663,,1955905.0,992663.0
- Cam kết nhận - giao dịch hoán đối tiền tệ,- Cam kết nhận - giao dịch hoán đối tiền tệ,- Cam kết nhận - giao dịch hoán đối tiền tệ,,145.015.029,148.506.799,,145015029.0,148506799.0
- Cam kết trả - giao dịch hoán đối tiền tệ,- Cam kết trả - giao dịch hoán đối tiền tệ,- Cam kết trả - giao dịch hoán đối tiền tệ,,144.450.368,148.464.998,,144450368.0,148464998.0
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,,16.461.049,38.680.116,,16461049.0,38680116.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,,26.008.227,19.546.205,,26008227.0,19546205.0
Các cam kết khác,Các cam kết khác,Các cam kết khác,,338.994.341,282.690.471,,338994341.0,282690471.0
- Trong đó: Hạn mức tín dụng chưa sử dụng có thể hủy ngang,- Trong đó: Hạn mức tín dụng chưa sử dụng có thể hủy ngang,- Trong đó: Hạn mức tín dụng chưa sử dụng có thể hủy ngang,,221.212.186,196.427.687,,221212186.0,196427687.0
Các khoản mục ngoại bằng khác,Các khoản mục ngoại bằng khác,Các khoản mục ngoại bằng khác,39,216.831.930,176.600.284,39.0,216831930.0,176600284.0
Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,39.1,5.050.906,4.090.468,391.0,5050906.0,4090468.0
Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,39.2,60.160.129,42.971.727,392.0,60160129.0,42971727.0
Tài sản và chứng từ khác,Tài sản và chứng từ khác,Tài sản và chứng từ khác,39.3,151.620.895,129.538.089,393.0,151620895.0,129538089.0
,,,,893.538.190,817.501.479,,893538190.0,817501479.0
