row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,Thiết bị dụngcụ quản lýTriệu đồng,Tài sản cố địnhkhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,numeric__Thiết bị dụngcụ quản lýTriệu đồng,numeric__Tài sản cố địnhkhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,971.175,1.212.746,195.235,158.329,50.939,2.588.424,971175.0,1212746.0,195235.0,158329.0,50939.0,2588424.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,1.739,24.946,3.001,-,29.686,,1739.0,24946.0,3001.0,,29686.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,362.226,-,41.532,-,403.758,,362226.0,,41532.0,,403758.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.133),(11.245),(6.012),(2.977),(21.367),,-1133.0,-11245.0,-6012.0,-2977.0,-21367.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,971.175,1.575.578,208.936,196.850,47.962,3.000.501,971175.0,1575578.0,208936.0,196850.0,47962.0,3000501.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế > Số dư đầu năm,Số dư đầu năm,149.451,882.982,128.348,134.890,50.773,1.346.444,149451.0,882982.0,128348.0,134890.0,50773.0,1346444.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,24.679,224.427,16.657,16.178,159,282.100,24679.0,224427.0,16657.0,16178.0,159.0,282100.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.133),(11.245),(6.012),(2.977),(21.367),,-1133.0,-11245.0,-6012.0,-2977.0,-21367.0
Số dư cuối năm,Giá trị khấu hao lũy kế > Số dư cuối năm,Số dư cuối năm,174.130,1.106.276,133.760,145.056,47.955,1.607.177,174130.0,1106276.0,133760.0,145056.0,47955.0,1607177.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,821.724,329.764,66.887,23.439,166,1.241.980,821724.0,329764.0,66887.0,23439.0,166.0,1241980.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,797.045,469.302,75.176,51.794,7,1.393.324,797045.0,469302.0,75176.0,51794.0,7.0,1393324.0
