row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng12 năm 2024Triệu đồng,Ngày 31 tháng12 năm 2023Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng12 năm 2024Triệu đồng,numeric__Ngày 31 tháng12 năm 2023Triệu đồng
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam (“NHNN”),NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam (“NHNN”),Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam (“NHNN”),17,5.713,4.118.311,17.0,5713.0,4118311.0
Tiền gửi và vay Chính phủ NHNN,NỘ PHẢI TRẢ > Tiền gửi và vay Chính phủ NHNN,Tiền gửi và vay Chính phủ NHNN,,5.713,4.118.311,,5713.0,4118311.0
"Tiền gửi và vay các tổ chức tài chính (“TCTC”), TCTD khác","NỘ PHẢI TRẢ > Tiền gửi và vay các tổ chức tài chính (“TCTC”), TCTD khác","Tiền gửi và vay các tổ chức tài chính (“TCTC”), TCTD khác",,190.191.628,145.966.300,,190191628.0,145966300.0
"Tiền gửi của các TCTC, TCTD khác","NỘ PHẢI TRẢ > Tiền gửi của các TCTC, TCTD khác","Tiền gửi của các TCTC, TCTD khác",18.1,111.820.871,84.443.276,181.0,111820871.0,84443276.0
"Vay các TCTC, TCTD khác","NỘ PHẢI TRẢ > Vay các TCTC, TCTD khác","Vay các TCTC, TCTD khác",18.2,78.370.757,61.523.024,182.0,78370757.0,61523024.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,19,485.735.737,443.558.250,19.0,485735737.0,443558250.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,9,32.213,127.621,9.0,32213.0,127621.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",20,10.894,22.045,20.0,10894.0,22045.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,21,46.596.226,27.022.795,21.0,46596226.0,27022795.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,,16.974.628,20.866.826,,16974628.0,20866826.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",22.1,9.737.681,12.719.532,221.0,9737681.0,12719532.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,22.2,7.236.947,8.147.294,222.0,7236947.0,8147294.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,739.547.039,641.682.148,,739547039.0,641682148.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn,VỐN CHỦ SỞ HỮU > Vốn,Vốn,,103.331.782,103.331.782,,103331782.0,103331782.0
- Vốn điều lệ,VỐN CHỦ SỞ HỮU > - Vốn điều lệ,- Vốn điều lệ,,79.339.236,79.339.236,,79339236.0,79339236.0
- Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > - Thặng dư vốn cổ phần,- Thặng dư vốn cổ phần,,23.992.546,23.992.546,,23992546.0,23992546.0
Các quỹ của TCTD,VỐN CHỦ SỞ HỮU > Các quỹ của TCTD,Các quỹ của TCTD,,12.110.197,9.796.774,,12110197.0,9796774.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,24.846.798,21.024.428,,24846798.0,21024428.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,24,140.288.777,134.152.984,24.0,140288777.0,134152984.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,879.835.816,775.835.132,,879835816.0,775835132.0
