row_label_raw,row_label_full,Miền Nam triệu đồng,Miền Bắc triệu đồng,Miền Trung triệu đồng,Tổng bộ phân đã báo cáo triệu đồng,Loại trừ triệu đồng,Tổng cộng triệu đồng,numeric__Miền Bắc triệu đồng,numeric__Miền Trung triệu đồng,numeric__Tổng bộ phân đã báo cáo triệu đồng,numeric__Loại trừ triệu đồng,numeric__Tổng cộng triệu đồng
2.895.464(1.522.204),2.895.464(1.522.204),2.895.464(1.522.204),3.821.642(1.996.789),535.458(277.595),7.252.564(3.796.588),-,7.252.564(3.796.588),,,,,
1.373.260152.406,2.895.464(1.522.204) > 1.373.260152.406,1.373.260152.406,1.824.853441.414,257.86339.666,3.455.976633.486,-,3.455.976633.486,1824853441414.0,25786339666.0,3455976633486.0,,3455976633486.0
1.525.666(567.563),1.525.666(567.563),1.525.666(567.563),2.266.267(1.636.911),297.529(129.983),4.089.462(2.334.457),-,4.089.462(2.334.457),,,,,
958.103(108.585),958.103(108.585),958.103(108.585),629.356(220.753),167.546(20.597),1.755.005(349.935),-,1.755.005(349.935),,,,,
849.518-,849.518-,849.518-,408.603(280.791),146.949-,1.405.070(280.791),-,1.405.070(280.791),,,,,
849.518,849.518- > 849.518,849.518,127.812,146.949,1.124.279,-,1.124.279,127812.0,146949.0,1124279.0,,1124279.0
552.69333.5335.592,849.518- > 552.69333.5335.592,552.69333.5335.592,3.797.81010.236.066,253.4565.367,4.603.95910.274.9665.592,-,4.603.95910.274.9665.592,379781010236066.0,2534565367.0,4.603959102749666e+18,,4.603959102749666e+18
40.053.25293.830,849.518- > 40.053.25293.830,40.053.25293.830,30.392.942861.944,8.473.166-,78.919.360955.774,-,78.919.360955.774,30392942861944.0,,78919360955774.0,,78919360955774.0
2.133.335-,849.518- > 2.133.335-,2.133.335-,23.476.561113.947,-,25.609.896113.947,-,25.609.896113.947,23476561113947.0,,25609896113947.0,,25609896113947.0
-,849.518- > -,-,16.403,-,16.403,-,16.403,16403.0,,16403.0,,16403.0
172.313836.230,849.518- > 172.313836.230,172.313836.230,186.3331.293.693,11.063165.180,369.7092.295.103,-,369.7092.295.103,1863331293693.0,11063165180.0,3697092295103.0,,3697092295103.0
43.880.778,849.518- > 43.880.778,43.880.778,70.375.699,8.908.232,123.164.709,-,123.164.709,70375699.0,8908232.0,123164709.0,,123164709.0
81,849.518- > 81,81,999.919,-,1.000.000,-,1.000.000,999919.0,,1000000.0,,1000000.0
11.666.046-,849.518- > 11.666.046-,11.666.046-,19.488.08168.377.753,2.541.389-,33.695.51668.377.753,-,33.695.51668.377.753,1948808168377753.0,,3369551668377753.0,,3369551668377753.0
-,849.518- > -,-,95.023,-,95.023,-,95.023,95023.0,,95023.0,,95023.0
2.819,849.518- > 2.819,2.819,27.625,804,31.248,-,31.248,27625.0,804.0,31248.0,,31248.0
1.148.359,849.518- > 1.148.359,1.148.359,7.558.741,337.961,9.045.061,-,9.045.061,7558741.0,337961.0,9045061.0,,9045061.0
462.274,849.518- > 462.274,462.274,1.568.203,102.110,2.132.587,-,2.132.587,1568203.0,102110.0,2132587.0,,2132587.0
13.279.579,849.518- > 13.279.579,13.279.579,98.115.345,2.982.264,114.377.188,-,114.377.188,98115345.0,2982264.0,114377188.0,,114377188.0
