row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng",Máy móc thiết bịtriệu đồng,Phương tiện vântải và thiết bịtruyền đãntriệu đồng,"Thiết bị, dụng cụquản lýtriệu đồng",TSCĐ hữu hìnhkháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng",numeric__Máy móc thiết bịtriệu đồng,numeric__Phương tiện vântải và thiết bịtruyền đãntriệu đồng,"numeric__Thiết bị, dụng cụquản lýtriệu đồng",numeric__TSCĐ hữu hìnhkháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ: > Số dư đầu năm,Số dư đầu năm,102.973,418.881,56.648,28.590,97.344,704.436,102973.0,418881.0,56648.0,28590.0,97344.0,704436.0
Mua trong năm,Nguyên giá TSCĐ: > Mua trong năm,Mua trong năm,5.892,6.579,11.825,13.586,6.944,44.826,5892.0,6579.0,11825.0,13586.0,6944.0,44826.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,,,,,,
"Thanh lý, nhượng bán","Tăng khác > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.488),(82.435),-,(849),(7.555),(93.327),-2488.0,-82435.0,,-849.0,-7555.0,-93327.0
Số dư cuối năm,Tăng khác > Số dư cuối năm,Số dư cuối năm,106.377,343.025,68.473,41.327,96.733,655.935,106377.0,343025.0,68473.0,41327.0,96733.0,655935.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,31.657,281.579,48.952,22.034,53.824,438.046,31657.0,281579.0,48952.0,22034.0,53824.0,438046.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,8.372,33.955,4.389,3.555,14.603,64.874,8372.0,33955.0,4389.0,3555.0,14603.0,64874.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.488),(82.332),-,(849),(7.555),(93.224),-2488.0,-82332.0,,-849.0,-7555.0,-93224.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,37.541,233.202,53.341,24.740,60.872,409.696,37541.0,233202.0,53341.0,24740.0,60872.0,409696.0
Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,,,,,,
Tại ngày đầu năm,Giá trị còn lại của TSCĐ: > Tại ngày đầu năm,Tại ngày đầu năm,71.316,137.302,7.696,6.556,43.520,266.390,71316.0,137302.0,7696.0,6556.0,43520.0,266390.0
Tại ngày cuối năm,Giá trị còn lại của TSCĐ: > Tại ngày cuối năm,Tại ngày cuối năm,68.836,109.823,15.132,16.587,35.861,246.239,68836.0,109823.0,15132.0,16587.0,35861.0,246239.0
