row_label_raw,row_label_full,col_0,Chưa quá hạn và chưa bị giảm giá,Đã quá hạn và chưa bị giảm giá,Đơn vị: Triệu đồng Đã quá hạn và đã trích lập dự phòng,Tổng cộng,numeric__Chưa quá hạn và chưa bị giảm giá,numeric__Đã quá hạn và chưa bị giảm giá,numeric__Đơn vị: Triệu đồng Đã quá hạn và đã trích lập dự phòng,numeric__Tổng cộng
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,10.274.966,-,-,10.274.966,10274966.0,,,10274966.0
- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,9.389.716,-,-,9.389.716,9389716.0,,,9389716.0
- Cho vay các TCTD khác,- Cho vay các TCTD khác,- Cho vay các TCTD khác,885.250,-,-,885.250,885250.0,,,885250.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,76.892.969,1.392.828,1.578.423,79.864.220,76892969.0,1392828.0,1578423.0,79864220.0
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,904.345,24.542,27.401,956.288,904345.0,24542.0,27401.0,956288.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,26.363.835,-,100.000,26.463.835,26363835.0,,100000.0,26463835.0
- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,24.793.365,-,100.000,24.893.365,24793365.0,,100000.0,24893365.0
- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,1.570.470,-,-,1.570.470,1570470.0,,,1570470.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,2.295.103,-,-,2.295.103,2295103.0,,,2295103.0
Tổng cộng,Tổng cộng,Tổng cộng,116.731.218,1.417.370,1.705.824,119.854.412,116731218.0,1417370.0,1705824.0,119854412.0
