row_label_raw,row_label_full,col_0,31/12/2017 > %/năm,31/12/2016 > %/năm,numeric__31/12/2017 > %/năm,numeric__31/12/2016 > %/năm
Cho vay thương mại bằng VND,Cho vay thương mại bằng VND,Cho vay thương mại bằng VND,"4,78% - 13,09%","3,70% - 13,09%",,
Cho vay thương mại bằng ngoại tệ,Cho vay thương mại bằng ngoại tệ,Cho vay thương mại bằng ngoại tệ,"1,00% - 5,66%","1,00% - 5,25%",,
