row_label_raw,row_label_full,col_0,Quá hạn,Khôngđịnh lại lãi suất,Lãi suất được định lại trong vòng,Lãi suất được định lại trong vòng_1,Lãi suất được định lại trong vòng_2,Lãi suất được định lại trong vòng_3,Lãi suất được định lại trong vòng_4,Lãi suất được định lại trong vòng_5,Tổng,numeric__Quá hạn,numeric__Khôngđịnh lại lãi suất,numeric__Lãi suất được định lại trong vòng,numeric__Lãi suất được định lại trong vòng_1,numeric__Lãi suất được định lại trong vòng_2,numeric__Lãi suất được định lại trong vòng_3,numeric__Lãi suất được định lại trong vòng_4,numeric__Lãi suất được định lại trong vòng_5,numeric__Tổng
,,,Quá hạn,Khôngđịnh lại lãi suất,Đến 1 tháng,Từ 1 - 3 tháng,Từ 3 - 6 tháng,Từ 6 - 12 tháng,Từ 1 - 5 năm,Trên 5 năm,Tổng,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,1.016.409,-,-,-,-,-,-,1.016.409,,1016409.0,,,,,,,1016409.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,3.587.550,-,-,-,-,-,3.587.550,,,3587550.0,,,,,,3587550.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,9.473.711,468.480,326.725,6.050,-,-,10.274.966,,,9473711.0,468480.0,326725.0,6050.0,,,10274966.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),1.837.883,-,21.116.481,31.788.733,9.112.730,15.234.760,713.071,60.562,79.864.220,1837883.0,,21116481.0,31788733.0,9112730.0,15234760.0,713071.0,60562.0,79864220.0
Hoạt động mua nợ (*),Tài sản > Hoạt động mua nợ (*),Hoạt động mua nợ (*),-,-,4.022,88,30.913,150.154,771.111,-,956.288,,,4022.0,88.0,30913.0,150154.0,771111.0,,956288.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),100.000,1.528.090,-,2.567.981,2.312.737,50.136,19.699.313,205.578,26.463.835,100000.0,1528090.0,,2567981.0,2312737.0,50136.0,19699313.0,205578.0,26463835.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,185.259,-,-,-,-,-,-,185.259,,185259.0,,,,,,,185259.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,369.709,-,-,-,-,-,-,369.709,,369709.0,,,,,,,369709.0
Bắt động sản đầu tư,Tài sản > Bắt động sản đầu tư,Bắt động sản đầu tư,-,16.403,-,-,-,-,-,-,16.403,,16403.0,,,,,,,16403.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),-,2.295.103,-,-,-,-,-,-,2.295.103,,2295103.0,,,,,,,2295103.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,1.937.883,5.410.973,34.181.764,34.825.282,11.783.105,15.441.100,21.183.495,266.140,125.029.742,1937883.0,5410973.0,34181764.0,34825282.0,11783105.0,15441100.0,21183495.0,266140.0,125029742.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,-,23.674.889,6.274.339,550.447,41,4.195.800,-,34.695.516,,,23674889.0,6274339.0,550447.0,41.0,4195800.0,,34695516.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,32.925.789,11.602.827,13.684.747,9.147.600,1.016.652,138,68.377.753,,,32925789.0,11602827.0,13684747.0,9147600.0,1016652.0,138.0,68377753.0
Các công cụ tài chính phải sinh và các công nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các công nợ tài chính khác,Các công cụ tài chính phải sinh và các công nợ tài chính khác,-,89.431,-,-,-,-,-,-,89.431,,89431.0,,,,,,,89431.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,1.408,13.108,494,679,15.559,-,31.248,,,1408.0,13108.0,494.0,679.0,15559.0,,31248.0
Phát hành giấy tờ có giế,Nợ phải trả > Phát hành giấy tờ có giế,Phát hành giấy tờ có giế,-,-,-,200.000,-,3.395.804,5.240.505,208.752,9.045.061,,,,200000.0,,3395804.0,5240505.0,208752.0,9045061.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),-,2.132.587,-,-,-,-,-,-,2.132.587,,2132587.0,,,,,,,2132587.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,2.222.018,56.602.086,18.090.274,14.235.688,12.544.124,10.468.516,208.890,114.371.596,,2222018.0,56602086.0,18090274.0,14235688.0,12544124.0,10468516.0,208890.0,114371596.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,1.937.883,3.188.955,(22.420.322),16.735.008,(2.452.583),2.896.976,10.714.979,57.250,10.658.146,1937883.0,3188955.0,-22420322.0,16735008.0,-2452583.0,2896976.0,10714979.0,57250.0,10658146.0
Mức chênh nhạy cảm với lãi suất ngoại bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất ngoại bảng,Mức chênh nhạy cảm với lãi suất ngoại bảng,-,-,3.749,(70.764),(20.751),2.450,-,-,(85.316),,,3749.0,-70764.0,-20751.0,2450.0,,,-85316.0
Tổng mức chênh nhạy cảm với lãi suất,Nợ phải trả > Tổng mức chênh nhạy cảm với lãi suất,Tổng mức chênh nhạy cảm với lãi suất,1.937.883,3.188.955,(22.416.573),16.664.244,(2.473.334),2.899.426,10.714.979,57.250,10.572.830,1937883.0,3188955.0,-22416573.0,16664244.0,-2473334.0,2899426.0,10714979.0,57250.0,10572830.0
