row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng",Máy móc thiết bịtriệu đồng,Phương tiện vântải và thiết bịtruyền đãntriệu đồng,"Thiết bị, dụng cụquản lýtriệu đồng",TSCĐ hữu hìnhkháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng",numeric__Máy móc thiết bịtriệu đồng,numeric__Phương tiện vântải và thiết bịtruyền đãntriệu đồng,"numeric__Thiết bị, dụng cụquản lýtriệu đồng",numeric__TSCĐ hữu hìnhkháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ: > Số dư đầu năm,Số dư đầu năm,106.377,343.025,68.473,41.327,96.733,655.935,106377.0,343025.0,68473.0,41327.0,96733.0,655935.0
Mua trong răm,Nguyên giá TSCĐ: > Mua trong răm,Mua trong răm,2.943,21.981,-,5.537,7.419,37.880,2943.0,21981.0,,5537.0,7419.0,37880.0
Tăng khác,Nguyên giá TSCĐ: > Tăng khác,Tăng khác,11.073,-,-,-,-,11.073,11073.0,,,,,11073.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(20.951),(81.337),(13.793),(16.816),(18.958),(151.855),-20951.0,-81337.0,-13793.0,-16816.0,-18958.0,-151855.0
Số dư cuối năm,Nguyên giá TSCĐ: > Số dư cuối năm,Số dư cuối năm,99.442,283.669,54.680,30.048,85.194,553.033,99442.0,283669.0,54680.0,30048.0,85194.0,553033.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,37.541,233.202,53.341,24.740,60.872,409.696,37541.0,233202.0,53341.0,24740.0,60872.0,409696.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,7.140,30.188,3.210,4.766,15.319,60.623,7140.0,30188.0,3210.0,4766.0,15319.0,60623.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(9.783),(81.326),(10.015),(16.816),(18.963),(136.903),-9783.0,-81326.0,-10015.0,-16816.0,-18963.0,-136903.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,34.898,182.064,46.536,12.690,57.228,333.416,34898.0,182064.0,46536.0,12690.0,57228.0,333416.0
Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,,,,,,
Tại ngày đầu năm,Giá trị còn lại của TSCĐ: > Tại ngày đầu năm,Tại ngày đầu năm,68.836,109.823,15.132,16.587,35.861,246.239,68836.0,109823.0,15132.0,16587.0,35861.0,246239.0
Tại ngày cuối năm,Giá trị còn lại của TSCĐ: > Tại ngày cuối năm,Tại ngày cuối năm,64.544,101.605,8.144,17.358,27.966,219.617,64544.0,101605.0,8144.0,17358.0,27966.0,219617.0
