row_label_raw,row_label_full,Bên liên quan > Phải trả ngắn hạn khác (Thuyết minh số 19),Nội dung nghiệp vụ > Phải trả ngắn hạn khác (Thuyết minh số 19),Số cuối năm > Phải trả ngắn hạn khác (Thuyết minh số 19),Đơn vị tính: VND > Số đầu năm > Phải trả ngắn hạn khác (Thuyết minh số 19),numeric__Nội dung nghiệp vụ > Phải trả ngắn hạn khác (Thuyết minh số 19),numeric__Số cuối năm > Phải trả ngắn hạn khác (Thuyết minh số 19),numeric__Đơn vị tính: VND > Số đầu năm > Phải trả ngắn hạn khác (Thuyết minh số 19)
Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Phải trả khác,-,1.600.000.000,,,1600000000.0
,,,,-,1.600.000.000,,,1600000000.0
Vay ngắn hạn (Thuyết minh số 20),Vay ngắn hạn (Thuyết minh số 20),Vay ngắn hạn (Thuyết minh số 20),Vay ngắn hạn (Thuyết minh số 20),Vay ngắn hạn (Thuyết minh số 20),Vay ngắn hạn (Thuyết minh số 20),,,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn (i),Vay ngắn hạn (Thuyết minh số 20) > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn (i),Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn (i),Vay ngắn hạn,30.000.000.000,30.000.000.000,,30000000000.0,30000000000.0
Công ty TNHH Saigontel Long An,Vay ngắn hạn (Thuyết minh số 20) > Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Vay ngắn hạn,-,112.500.000.000,,,112500000000.0
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Vay ngắn hạn (Thuyết minh số 20) > Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Vay ngắn hạn,-,7.800.000.000,,,7800000000.0
,,,,30.000.000.000,150.300.000.000,,30000000000.0,150300000000.0
