row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 9),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9)
Ông Vũ Thanh Dương,Ông Vũ Thanh Dương,Ông Vũ Thanh Dương,Tạm ứng,541.760.677.500,347.147.077.500,,541760677500.0,347147077500.0
Ông Mai Tuấn Dũng,Ông Mai Tuấn Dũng,Ông Mai Tuấn Dũng,Tạm ứng,109.571.490.155,70.564.237.035,,109571490155.0,70564237035.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Lãi vay phải thu Góp vốn hợp tác kinh doanh,63.688.204.32941.711.068.493,69.339.006.07240.000.000.000,,6.368820432941711e+21,6.93390060724e+21
Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Lãi vay phải thu Góp vốn hợp tác kinh doanh (i),20.024.767.12014.732.000.000,9.247.488.581584.000.000.000,,2.002476712014732e+21,9.247488581584e+21
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Lãi vay phải thu,11.723.345.364,12.558.179.532,,11723345364.0,12558179532.0
Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Lãi vay phải thu,11.577.059.611,5.389.515.950,,11577059611.0,5389515950.0
Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Tạm ứng,3.489.211.820,3.489.211.820,,3489211820.0,3489211820.0
Công ty Cổ phần Đầu tư Khu Công nghiệp Lê Minh Xuân 2,Công ty Cổ phần Đầu tư Khu Công nghiệp Lê Minh Xuân 2,Công ty Cổ phần Đầu tư Khu Công nghiệp Lê Minh Xuân 2,Lãi vay phải thu,353.972.602,183.972.602,,353972602.0,183972602.0
Ông Lê Minh Hà,Ông Lê Minh Hà,Ông Lê Minh Hà,Tạm ứng,-,1.852.000.000,,,1852000000.0
Bà Nguyễn Mỹ Ngọc,Bà Nguyễn Mỹ Ngọc,Bà Nguyễn Mỹ Ngọc,Tạm ứng,176.330.000,136.330.000,,176330000.0,136330000.0
Ông Phan Anh Dũng,Ông Phan Anh Dũng,Ông Phan Anh Dũng,Tạm ứng,110.000.000,110.000.000,,110000000.0,110000000.0
,,,,818.918.126.994,1.144.017.019.092,,818918126994.0,1144017019092.0
Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),,,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Phải thu dài hạn khác (Thuyết minh số 9) > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Lãi vay phải thu,39.041.095.890,8.572.342.521,,39041095890.0,8572342521.0
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Phải thu dài hạn khác (Thuyết minh số 9) > Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Lãi vay phải thu,19.268.219.178,-,,19268219178.0,
,,,,58.309.315.068,8.572.342.521,,58309315068.0,8572342521.0
Chi phí phải trả ngắn hạn (Thuyết minh số 18),Chi phí phải trả ngắn hạn (Thuyết minh số 18),Chi phí phải trả ngắn hạn (Thuyết minh số 18),Chi phí phải trả ngắn hạn (Thuyết minh số 18),Chi phí phải trả ngắn hạn (Thuyết minh số 18),Chi phí phải trả ngắn hạn (Thuyết minh số 18),,,
Công ty Cổ phần Đầu Tư Và Phát Triều Hạ Tầng Khu Công nghệ cao Sài Gòn,Chi phí phải trả ngắn hạn (Thuyết minh số 18) > Công ty Cổ phần Đầu Tư Và Phát Triều Hạ Tầng Khu Công nghệ cao Sài Gòn,Công ty Cổ phần Đầu Tư Và Phát Triều Hạ Tầng Khu Công nghệ cao Sài Gòn,Lãi vay phải trả,553.879.723,517.879.723,,553879723.0,517879723.0
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Chi phí phải trả ngắn hạn (Thuyết minh số 18) > Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Lãi vay phải trả,-,2.528.482.193,,,2528482193.0
Công ty TNHH Saigontel Long An,Chi phí phải trả ngắn hạn (Thuyết minh số 18) > Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Lãi vay phải trả,-,2.037.328.761,,,2037328761.0
,,,,553.879.723,5.083.690.677,,553879723.0,5083690677.0
