row_label_raw,row_label_full,STT,Tên bên liên quan,Mối quan hệ,numeric__Tên bên liên quan,numeric__Mối quan hệ
1,1,1,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty liên kết,,
2,2,2,Công ty TNHH Saigontel Long An,Công ty liên kết,,
3,3,3,Công ty Cổ phần Scanviwood,Công ty liên kết,,
4,4,4,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,Công ty liên kết,,
5,5,5,Công ty Cổ phần Đầu tư Khu Công nghiệp Lê Minh Xuân 2,Công ty liên kết,,
6,6,6,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty liên kết,,
7,7,7,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Công ty có chung thành viên quản lý chủ chốt,,
8,8,8,Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Công ty có chung thành viên quản lý chủ chốt,,
9,9,9,Ông Đăng Thành Tâm,Chủ tịch Hội đồng Quản trị,,
10,10,10,Bà Nguyễn Thị Thu Hương,Tổng Giám đốc,,
11,11,11,Ông Phan Anh Dũng,Phó Tổng Giám đốc,,
12,12,12,Bà Nguyễn Mỹ Ngọc,Phó Tổng Giám đốc,,
13,13,13,Ông Vũ Ngọc Ánh,Tổng Giám đốc của công ty con,,
14,14,14,Ông Mai Tuấn Dũng,Tổng Giám đốc của công ty con,,
15,15,15,Ông Vũ Thanh Dương,Phó Tổng Giám đốc của công ty con,,
16,16,16,Ông Lê Minh Hà,Phó Tổng Giám đốc của công ty con,,
