row_label_raw,row_label_full,Giá trị đầu tư: > Số đầu năm > Tăng trong năm > Số cuối năm,Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng > Giá trị đầu tư: > 96.000.000.000 > - > 96.000.000.000,Công ty Cổ phần Đầu tư Khu Công nghiệp Lê Minh Xuân 2 > Giá trị đầu tư: > 583.000.000.000 > - > 583.000.000.000,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhom Hội > Giá trị đầu tư: > 540.000.000.000 > - > 540.000.000.000,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn > Giá trị đầu tư: > 582.461.891.074 > - > 582.461.891.074,Công ty TNHH Saigontel Long An > Giá trị đầu tư: > 112.500.000.000 > 62.500.000.000 > 175.000.000.000,Công ty Cổ phần Scanviwood > Giá trị đầu tư: > 7.204.600.000 > - > 7.204.600.000,Đơn vị tính: VND > Giá trị đầu tư: > 1.921.166.491.074 > 62.500.000.000 > 1.983.666.491.074,numeric__Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng > Giá trị đầu tư: > 96.000.000.000 > - > 96.000.000.000,numeric__Công ty Cổ phần Đầu tư Khu Công nghiệp Lê Minh Xuân 2 > Giá trị đầu tư: > 583.000.000.000 > - > 583.000.000.000,numeric__Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhom Hội > Giá trị đầu tư: > 540.000.000.000 > - > 540.000.000.000,numeric__Công ty Cổ phần Công nghệ Viễn thông Sài Gòn > Giá trị đầu tư: > 582.461.891.074 > - > 582.461.891.074,numeric__Công ty TNHH Saigontel Long An > Giá trị đầu tư: > 112.500.000.000 > 62.500.000.000 > 175.000.000.000,numeric__Công ty Cổ phần Scanviwood > Giá trị đầu tư: > 7.204.600.000 > - > 7.204.600.000,numeric__Đơn vị tính: VND > Giá trị đầu tư: > 1.921.166.491.074 > 62.500.000.000 > 1.983.666.491.074
Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,,,,,,,
Số đầu năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số đầu năm,Số đầu năm,2.166.267.245.329,(233.541.493),396.921.973.761,3.249.843.601,(587.552.779),(2.607.003.869),2.563.010.964.550,2166267245329.0,-233541493.0,396921973761.0,3249843601.0,-587552779.0,-2607003869.0,2563010964550.0
Phần chia lợi nhuận/(lỗ),Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Phần chia lợi nhuận/(lỗ),Phần chia lợi nhuận/(lỗ),(14.247.966.080),(420.400.672),(1.791.423.382),9.044.934.019,(672.920.737),-,(8.087.776.852),-14247966080.0,-420400672.0,-1791423382.0,9044934019.0,-672920737.0,,-8087776852.0
Số cuối năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số cuối năm,Số cuối năm,2.152.019.279.249,(653.942.165),395.130.550.379,12.294.777.620,(1.260.473.516),(2.607.003.869),2.554.923.187.698,2152019279249.0,-653942165.0,395130550379.0,12294777620.0,-1260473516.0,-2607003869.0,2554923187698.0
Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,,,,,,,
Số đầu năm,Lợi thế thương mại đã phân bổ: > Số đầu năm,Số đầu năm,-,-,-,160.227.726.386,-,-,160.227.726.386,,,,160227726386.0,,,160227726386.0
Số cuối năm,Lợi thế thương mại đã phân bổ: > Số cuối năm,Số cuối năm,-,-,-,160.227.726.386,-,-,160.227.726.386,,,,160227726386.0,,,160227726386.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,2.262.267.245.329,582.766.458.507,936.921.973.761,425.484.008.289,111.912.447.221,4.597.596.131,4.323.949.729.238,2262267245329.0,582766458507.0,936921973761.0,425484008289.0,111912447221.0,4597596131.0,4323949729238.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,2.248.019.279.249,582.346.057.835,935.130.550.379,434.528.942.308,173.739.526.484,4.597.596.131,4.378.361.952.386,2248019279249.0,582346057835.0,935130550379.0,434528942308.0,173739526484.0,4597596131.0,4378361952386.0
