row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Đơn vị tính: VND,Đơn vị tính: VND_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1
,,,,Dự,Dự,Dự,,,,
,,,,Giá trị,phòng,Giá trị,,,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tạm ứng cho nhân viên (i),Ngắn hạn > Tạm ứng cho nhân viên (i),Tạm ứng cho nhân viên (i),1.593.632.703.242,-,1.579.570.462.595,-,1593632703242.0,,1579570462595.0,
- Bà Nguyễn Thị Yến,Ngắn hạn > - Bà Nguyễn Thị Yến,- Bà Nguyễn Thị Yến,44.081.470.000,-,112.740.200.000,-,44081470000.0,,112740200000.0,
- Ông Mai Nho Tường,Ngắn hạn > - Ông Mai Nho Tường,- Ông Mai Nho Tường,950.083.207.867,-,954.944.009.673,-,950083207867.0,,954944009673.0,
- Ông Phan Minh Toàn Thư,Ngắn hạn > - Ông Phan Minh Toàn Thư,- Ông Phan Minh Toàn Thư,199.974.460.129,-,109.343.667.991,-,199974460129.0,,109343667991.0,
- Các đối tượng khác,Ngắn hạn > - Các đối tượng khác,- Các đối tượng khác,399.493.565.246,-,402.542.584.931,-,399493565246.0,,402542584931.0,
Phải thu về lãi cho vay,Ngắn hạn > Phải thu về lãi cho vay,Phải thu về lãi cho vay,328.634.519.716,-,150.631.910.842,-,328634519716.0,,150631910842.0,
Công ty Cổ phần Dịch vụ Kinh Bắc (ii),Ngắn hạn > Công ty Cổ phần Dịch vụ Kinh Bắc (ii),Công ty Cổ phần Dịch vụ Kinh Bắc (ii),238.000.000.000,-,300.000.000.000,-,238000000000.0,,300000000000.0,
Phải thu theo hợp đồng hợp tác kinh doanh (iii),Ngắn hạn > Phải thu theo hợp đồng hợp tác kinh doanh (iii),Phải thu theo hợp đồng hợp tác kinh doanh (iii),200.000.000.000,-,-,-,200000000000.0,,,
Sở Kế hoạch và Đầu tư tỉnh Long An (iv),Ngắn hạn > Sở Kế hoạch và Đầu tư tỉnh Long An (iv),Sở Kế hoạch và Đầu tư tỉnh Long An (iv),32.093.100.000,-,51.267.000.000,-,32093100000.0,,51267000000.0,
Ủy ban Nhân dân tỉnh Bắc Ninh (v),Ngắn hạn > Ủy ban Nhân dân tỉnh Bắc Ninh (v),Ủy ban Nhân dân tỉnh Bắc Ninh (v),19.440.000.000,-,19.440.000.000,-,19440000000.0,,19440000000.0,
Phải thu tiền đặt cọc (vi),Ngắn hạn > Phải thu tiền đặt cọc (vi),Phải thu tiền đặt cọc (vi),12.851.128.404,-,12.851.128.404,-,12851128404.0,,12851128404.0,
Đặt cọc mua cổ phần,Ngắn hạn > Đặt cọc mua cổ phần,Đặt cọc mua cổ phần,-,-,242.049.763.870,-,,,242049763870.0,
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,252.569.222.940,-,154.967.222.147,-,252569222940.0,,154967222147.0,
Phải thu khác các bên liên quan(Thuyết minh số 30),Ngắn hạn > Phải thu khác các bên liên quan(Thuyết minh số 30),Phải thu khác các bên liên quan(Thuyết minh số 30),818.918.126.994,-,1.144.017.019.092,-,818918126994.0,,1144017019092.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,3.496.138.801.296,-,3.654.794.506.950,-,3496138801296.0,,3654794506950.0,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Công ty Cổ phần Đầu tư Láng Hạ (vii),Dài hạn > Công ty Cổ phần Đầu tư Láng Hạ (vii),Công ty Cổ phần Đầu tư Láng Hạ (vii),394.419.327.038,-,175.151.127.545,-,394419327038.0,,175151127545.0,
Phải thu theo hợp đồng hợp tác kinh doanh (iii),Dài hạn > Phải thu theo hợp đồng hợp tác kinh doanh (iii),Phải thu theo hợp đồng hợp tác kinh doanh (iii),183.665.189.040,-,383.665.189.040,-,183665189040.0,,383665189040.0,
Phải thu dài hạn khác,Dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,15.217.411.499,-,104.761.337.200,-,15217411499.0,,104761337200.0,
Phải thu khác các bên liên quan(Thuyết minh số 30),Dài hạn > Phải thu khác các bên liên quan(Thuyết minh số 30),Phải thu khác các bên liên quan(Thuyết minh số 30),58.309.315.068,-,8.572.342.521,-,58309315068.0,,8572342521.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,651.611.242.645,-,672.149.996.306,-,651611242645.0,,672149996306.0,
