row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Thu hồi gốc hợp tác kinh doanh,590.000.000.000,-,,590000000000.0,
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Cho vay,423.000.000.000,420.000.000.000,,423000000000.0,420000000000.0
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Thu hồi gốc cho vay,400.000.000.000,-,,400000000000.0,
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Phí hợp tác kinh doanh phải thu,20.732.000.000,-,,20732000000.0,
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Lãi hợp tác kinh doanh đã nhận,17.178.082.000,-,,17178082000.0,
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Lãi vay phải thu,12.049.607.306,1.769.863.012,,12049607306.0,1769863012.0
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Nhận lãi cho vay,266.301.370,-,,266301370.0,
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Nhơn Hội,Thanh toán gốc vay,-,94.264.000.000,,,94264000000.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Cho vay,702.183.703.957,224.292.000.000,,702183703957.0,224292000000.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Thu hồi gốc cho vay,199.923.703.957,1.190.796.805.637,,199923703957.0,1190796805637.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Lãi vay phải thu,28.929.705.784,37.145.710.657,,28929705784.0,37145710657.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Nhận lãi cho vay,1.564.531.507,-,,1564531507.0,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Trả gốc vay,-,19.000.000.000,,,19000000000.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Lãi vay nhập gốc,-,1.700.000.001,,,1700000001.0
Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Thu hồi tạm ứng,-,407.000.000.000,,,407000000000.0
Ông Mai Tuấn Dũng,Ông Mai Tuấn Dũng,Ông Mai Tuấn Dũng,Tạm ứng,39.233.721.301,26.442.232.606,,39233721301.0,26442232606.0
Ông Mai Tuấn Dũng,Ông Mai Tuấn Dũng,Ông Mai Tuấn Dũng,Thu hồi tạm ứng,226.468.181,75.138.800,,226468181.0,75138800.0
Ông Vũ Thanh Dương,Ông Vũ Thanh Dương,Ông Vũ Thanh Dương,Tạm ứng,4.838.000.000,83.195.336.500,,4838000000.0,83195336500.0
Ông Vũ Thanh Dương,Ông Vũ Thanh Dương,Ông Vũ Thanh Dương,Thu hồi tạm ứng,-,83.000.000.000,,,83000000000.0
Ông Vũ Ngọc Ánh,Ông Vũ Ngọc Ánh,Ông Vũ Ngọc Ánh,Thu hồi tạm ứng,-,4.890.000.000,,,4890000000.0
