row_label_raw,row_label_full,Tên,Chức vụ,Năm nay,Năm nay_1,Năm nay_2,Năm nay_3,Năm trước,Năm trước_1,Năm trước_2,Năm trước_3,numeric__Chức vụ,numeric__Năm nay,numeric__Năm nay_1,numeric__Năm nay_2,numeric__Năm nay_3,numeric__Năm trước,numeric__Năm trước_1,numeric__Năm trước_2,numeric__Năm trước_3
Tên,Tên,Tên,Chức vụ,Thù lao của Hội đồng Quản trị và Ban Kiểm soát,"Tổng thu nhập của Ban Tổng Giám đốc, người quản lý khác và Trường ban kiểm soát",Tổng thuế thu nhập cá nhân phải nộp,Tổng cộng,Thù lao của Hội đồng Quản trị và Ban Kiểm soát,"Tổng thu nhập của Ban Tổng Giám đốc, người quản lý khác và Trường ban kiểm soát",Tổng thuế thu nhập cá nhân phải nộp,Tổng cộng,,,,,,,,,
Nguyễn Thị Thu Hương,Tên > Nguyễn Thị Thu Hương,Nguyễn Thị Thu Hương,"Thành viên Hội đồng Quản trị, Tổng Giám đốc",100.000.000,11.124.792.000,5.734.334.154,16.959.126.154,100.000.000,6.567.001.000,3.280.139.000,9.947.140.000,,100000000.0,11124792000.0,5734334154.0,16959126154.0,100000000.0,6567001000.0,3280139000.0,9947140000.0
Huỳnh Phát,Tên > Huỳnh Phát,Huỳnh Phát,Thành viên Hội đồng Quản trị,100.000.000,-,11.111.111,111.111.111,100.000.000,-,11.111.111,111.111.111,,100000000.0,,11111111.0,111111111.0,100000000.0,,11111111.0,111111111.0
Lê Hoàng Lân,Tên > Lê Hoàng Lân,Lê Hoàng Lân,Thành viên Hội đồng Quản trị độc lập,100.000.000,-,11.111.111,111.111.111,100.000.000,-,-,100.000.000,,100000000.0,,11111111.0,111111111.0,100000000.0,,,100000000.0
Đặng Nguyễn Quỳnh Anh Phạm Phúc Hiếu,Tên > Đặng Nguyễn Quỳnh Anh Phạm Phúc Hiếu,Đặng Nguyễn Quỳnh Anh Phạm Phúc Hiếu,Thành viên Hội đồng Quản trị,100.000.000,-,11.111.111,111.111.111,100.000.000,-,-,100.000.000,,100000000.0,,11111111.0,111111111.0,100000000.0,,,100000000.0
Đặng Nguyễn Quỳnh Anh Phạm Phúc Hiếu,Tên > Đặng Nguyễn Quỳnh Anh Phạm Phúc Hiếu,Đặng Nguyễn Quỳnh Anh Phạm Phúc Hiếu,"Phó Tổng Giám đốc, Kế toán trưởng",-,4.179.284.000,1.997.460.615,6.176.744.615,-,2.365.000.000,1.020.538.462,3.385.538.462,,,4179284000.0,1997460615.0,6176744615.0,,2365000000.0,1020538462.0,3385538462.0
Nguyễn Mỹ Ngọc Phan Anh Dùng,Tên > Nguyễn Mỹ Ngọc Phan Anh Dùng,Nguyễn Mỹ Ngọc Phan Anh Dùng,Phó Tổng Giám đốc,-,2.736.242.000,1.220.438.000,3.956.680.000,-,1.665.001.000,643.615.923,2.308.616.923,,,2736242000.0,1220438000.0,3956680000.0,,1665001000.0,643615923.0,2308616923.0
Nguyễn Mỹ Ngọc Phan Anh Dùng,Tên > Nguyễn Mỹ Ngọc Phan Anh Dùng,Nguyễn Mỹ Ngọc Phan Anh Dùng,Phó Tổng Giám đốc,-,87.500.000,-,87.500.000,-,1.181.782.000,383.421.077,1.565.203.077,,,87500000.0,,87500000.0,,1181782000.0,383421077.0,1565203077.0
Nguyễn Bích Ngọc,Tên > Nguyễn Bích Ngọc,Nguyễn Bích Ngọc,Trường Ban Kiểm soát,50.000.000,234.056.000,16.245.176,300.301.176,50.000.000,202.459.000,10.669.235,263.128.235,,50000000.0,234056000.0,16245176.0,300301176.0,50000000.0,202459000.0,10669235.0,263128235.0
Thế Thị Minh Hồng,Tên > Thế Thị Minh Hồng,Thế Thị Minh Hồng,Thành viên Ban Kiểm soát,50.000.000,-,5.555.556,55.555.556,50.000.000,-,5.555.556,55.555.556,,50000000.0,,5555556.0,55555556.0,50000000.0,,5555556.0,55555556.0
Trần Tiến Thành,Tên > Trần Tiến Thành,Trần Tiến Thành,Thành viên Ban Kiểm soát,50.000.000,-,5.555.556,55.555.556,50.000.000,-,5.555.556,55.555.556,,50000000.0,,5555556.0,55555556.0,50000000.0,,5555556.0,55555556.0
TỔNG CỘNG,Tên > TỔNG CỘNG,TỔNG CỘNG,,550.000.000,18.361.874.000,9.012.922.390,27.924.796.390,550.000.000,11.981.243.000,5.360.605.920,17.891.848.920,,550000000.0,18361874000.0,9012922390.0,27924796390.0,550000000.0,11981243000.0,5360605920.0,17891848920.0
