row_label_raw,row_label_full,col_0,Số cuối năm(VND),Lãi suất,Kỳ hạn trả gốc và lãi,numeric__Số cuối năm(VND),numeric__Lãi suất,numeric__Kỳ hạn trả gốc và lãi
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,
Công ty Cổ phần Tập đoàn Everland,Vay ngắn hạn > Công ty Cổ phần Tập đoàn Everland,Công ty Cổ phần Tập đoàn Everland,93.350.000.000,1%/năm,"Kỳ hạn 12 tháng, gốc vay đáo hạn từ tháng 1 đến tháng 8 năm 2024.",93350000000.0,,
Ông Đỗ Anh Dũng,Vay ngắn hạn > Ông Đỗ Anh Dũng,Ông Đỗ Anh Dũng,50.000.000.000,Không có lãi suất,"Kỳ hạn 18 tháng, gốc vay đáo hạn ngày 15 tháng 7 năm 2022. Công ty đang trong quá trình gia hạn khoản vay này",50000000000.0,,
Đặng Hải Triều,Vay ngắn hạn > Đặng Hải Triều,Đặng Hải Triều,25.000.000.000,1%/năm,"Kỳ hạn 12 tháng, gốc vay đáo hạn ngày 27 tháng 1 năm 2024",25000000000.0,,
Bà Đào Thị Yến,Vay ngắn hạn > Bà Đào Thị Yến,Bà Đào Thị Yến,10.830.000.000,1%/năm,Khoản vay đáo hạn ngày 9 tháng 8 năm 2024.,10830000000.0,,
Công ty Cổ phần Đầu tư và Phát triển,Vay ngắn hạn > Công ty Cổ phần Đầu tư và Phát triển,Công ty Cổ phần Đầu tư và Phát triển,3.000.000.000,"2,5%/năm",Đáo hạn ngày 30 tháng 1 năm 2024.,3000000000.0,,
Evergreen,Vay ngắn hạn > Evergreen,Evergreen,6.900.000.000,1%/năm,Khoản vay đáo hạn ngày 9 tháng 8 năm 2024.,6900000000.0,,
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,189.080.000.000,,,189080000000.0,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,
Công ty Cổ phần Kum-Ba,Vay dài hạn > Công ty Cổ phần Kum-Ba,Công ty Cổ phần Kum-Ba,8.500.000.000,"6,5%/năm",Đáo hạn ngày 17 tháng 2 năm 2025.,8500000000.0,,
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,8.500.000.000,,,8500000000.0,,
