row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Côngthương Việt Nam - Chinhánh Khu công nghiệpQuế Võ > Ngân hàng TMCP TiênPhong,Số cuối năm(VND) > 61.510.947.667 > 26.840.815.856 > 67.754.003.900,"Lãi suất > 12,5%/năm > 11,3%/năm > 10%/năm –11,3%/năm","Kỳ hạn trả gốc và lãi > Ngày trả nợ cuối cùng làngày 25 tháng 7 năm 2026.Gốc vay trả 6 tháng mộtlần, lãi vay trả 3 tháng 1lần vào ngày 25. > Ngày trả nợ cuối cùng làngày 30 tháng 7 năm 2026.Gốc vay trả 6 tháng mộtlần, lãi vay trả 3 tháng 1lần vào ngày 25. > Tôi đa 6 năm từ ngày giàingañn đầu tiên (tháng 7năm 2020). Thời gian ânhạn gốc là 12 tháng kể tửngày giải ngân đầu tiên.Lãi vay trả hàng tháng.",numeric__Số cuối năm(VND) > 61.510.947.667 > 26.840.815.856 > 67.754.003.900,"numeric__Lãi suất > 12,5%/năm > 11,3%/năm > 10%/năm –11,3%/năm","numeric__Kỳ hạn trả gốc và lãi > Ngày trả nợ cuối cùng làngày 25 tháng 7 năm 2026.Gốc vay trả 6 tháng mộtlần, lãi vay trả 3 tháng 1lần vào ngày 25. > Ngày trả nợ cuối cùng làngày 30 tháng 7 năm 2026.Gốc vay trả 6 tháng mộtlần, lãi vay trả 3 tháng 1lần vào ngày 25. > Tôi đa 6 năm từ ngày giàingañn đầu tiên (tháng 7năm 2020). Thời gian ânhạn gốc là 12 tháng kể tửngày giải ngân đầu tiên.Lãi vay trả hàng tháng."
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.431.793.114.429,,,3431793114429.0,,
Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,118.243.250.730,,,118243250730.0,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,3.313.549.863.699,,,3313549863699.0,,
