row_label_raw,row_label_full,Ông Đặng Thành Tâm,Chủ tịch Hội đồng Quản trị,numeric__Chủ tịch Hội đồng Quản trị
Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Thành viên,
Ông Huỳnh Phát,Ông Huỳnh Phát,Ông Huỳnh Phát,Thành viên,
Ông Lê Hoàng Lân,Ông Lê Hoàng Lân,Ông Lê Hoàng Lân,Thành viên độc lập,
Bà Đặng Nguyễn Quỳnh Anh,Bà Đặng Nguyễn Quỳnh Anh,Bà Đặng Nguyễn Quỳnh Anh,Thành viên,
