row_label_raw,row_label_full,col_0,Thuyết minh số,Số cuối năm,Số đầu năm,numeric__Thuyết minh số,numeric__Số cuối năm,numeric__Số đầu năm
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,15.1,4.378.361.952.386,4.323.949.729.238,151.0,4378361952386.0,4323949729238.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,15.2,424.500.200.000,399.500.200.000,152.0,424500200000.0,399500200000.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,(26.018.164.785),(26.018.164.785),,-26018164785.0,-26018164785.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,4.776.843.987.601,4.697.431.764.453,,4776843987601.0,4697431764453.0
