row_label_raw,row_label_full,Hệ thống cấp nước và xử lý nước thải thuộcKhu công nghiệp Nam Sơn Hạp Lĩnh (i),Số cuối năm > 123.910.333.440,Đơn vị tính: VND > Số đầu năm > 110.470.318.853,numeric__Số cuối năm > 123.910.333.440,numeric__Đơn vị tính: VND > Số đầu năm > 110.470.318.853
Khu ngoại giao đoàn Hà Nội (ii),Khu ngoại giao đoàn Hà Nội (ii),Khu ngoại giao đoàn Hà Nội (ii),106.455.116.818,106.555.116.818,106455116818.0,106555116818.0
Nhà máy nước thải giai đoạn 3 thuộc Khu côngnghiệp Quang Châu,Nhà máy nước thải giai đoạn 3 thuộc Khu côngnghiệp Quang Châu,Nhà máy nước thải giai đoạn 3 thuộc Khu côngnghiệp Quang Châu,50.147.380.730,58.361.116.901,50147380730.0,58361116901.0
Dự án nhà máy Chế tạo Quảng Yên,Dự án nhà máy Chế tạo Quảng Yên,Dự án nhà máy Chế tạo Quảng Yên,41.559.184.000,41.559.184.000,41559184000.0,41559184000.0
"Dự án tại 84A Hùng Vương, Đà Nẵng","Dự án tại 84A Hùng Vương, Đà Nẵng","Dự án tại 84A Hùng Vương, Đà Nẵng",-,744.491.019.748,,744491019748.0
Chi phí xây dựng cơ bản dở dang khác,Chi phí xây dựng cơ bản dở dang khác,Chi phí xây dựng cơ bản dở dang khác,104.448.864.477,108.361.229.494,104448864477.0,108361229494.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,426.520.879.465,1.169.797.985.814,426520879465.0,1169797985814.0
