row_label_raw,row_label_full,Năm trước > Số đầu năm,Vốn cổ phần đã góp > Năm trước > 5.757.111.670.000,Thặng dư vốn cổ phần > Năm trước > 3.397.344.430.000,Cổ phiếu quỹ > Năm trước > (364.466.650.000),Quỹ đầu tư phát triển > Năm trước > 2.223.693.823,Lợi nhuận sau thuế chưa phân phối > Năm trước > 5.411.370.039.775,Lợi ích cổ đông không kiểm soát > Năm trước > 2.365.638.497.961,Đơn vị tính: VND Tổng cộng > Năm trước > 16.569.221.681.559,numeric__Vốn cổ phần đã góp > Năm trước > 5.757.111.670.000,numeric__Thặng dư vốn cổ phần > Năm trước > 3.397.344.430.000,numeric__Cổ phiếu quỹ > Năm trước > (364.466.650.000),numeric__Quỹ đầu tư phát triển > Năm trước > 2.223.693.823,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 5.411.370.039.775,numeric__Lợi ích cổ đông không kiểm soát > Năm trước > 2.365.638.497.961,numeric__Đơn vị tính: VND Tổng cộng > Năm trước > 16.569.221.681.559
- Phát hành cổ phiếu quỹ,- Phát hành cổ phiếu quỹ,- Phát hành cổ phiếu quỹ,-,(29.748.080.000),364.466.650.000,-,-,-,334.718.570.000,,-29748080000.0,364466650000.0,,,,334718570000.0
- Tăng vốn cổ phần từ nguồn VCSH,- Tăng vốn cổ phần từ nguồn VCSH,- Tăng vốn cổ phần từ nguồn VCSH,1.918.935.920.000,(624.066.780.000),-,-,(1.294.869.140.000),-,-,1918935920000.0,-624066780000.0,,,-1294869140000.0,,
- Thay đổi tỷ lệ kiểm soát ở công ty con,- Thay đổi tỷ lệ kiểm soát ở công ty con,- Thay đổi tỷ lệ kiểm soát ở công ty con,-,-,-,-,3.456.510.850,(453.456.510.850),(450.000.000.000),,,,,3456510850.0,-453456510850.0,-450000000000.0
- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,1.526.351.079.824,50.177.960.703,1.576.529.040.527,,,,,1526351079824.0,50177960703.0,1576529040527.0
- Cổ tức/lợi nhuận được chia công bố,- Cổ tức/lợi nhuận được chia công bố,- Cổ tức/lợi nhuận được chia công bố,-,-,-,-,-,(184.950.000.000),(184.950.000.000),,,,,,-184950000000.0,-184950000000.0
Số cuối năm,Số cuối năm,Số cuối năm,7.676.047.590.000,2.743.529.570.000,-,2.223.693.823,5.646.308.490.449,1.777.409.947.814,17.845.519.292.086,7676047590000.0,2743529570000.0,,2223693823.0,5646308490449.0,1777409947814.0,17845519292086.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,7.676.047.590.000,2.743.529.570.000,-,2.223.693.823,5.646.308.490.449,1.777.409.947.814,17.845.519.292.086,7676047590000.0,2743529570000.0,,2223693823.0,5646308490449.0,1777409947814.0,17845519292086.0
- Tăng vốn tại công ty con (*),Năm nay > - Tăng vốn tại công ty con (*),- Tăng vốn tại công ty con (*),-,-,-,-,77.155.892.273,53.194.107.727,130.350.000.000,,,,,77155892273.0,53194107727.0,130350000000.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,2.030.699.360.319,214.304.052.011,2.245.003.412.330,,,,,2030699360319.0,214304052011.0,2245003412330.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,7.676.047.590.000,2.743.529.570.000,-,2.223.693.823,7.754.163.743.041,2.044.908.107.552,20.220.872.704.416,7676047590000.0,2743529570000.0,,2223693823.0,7754163743041.0,2044908107552.0,20220872704416.0
