row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Đơn vị tính: VND Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vị tính: VND Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,29.863.996.010,45.115.096.246,(74.979.092.256),-,29863996010.0,45115096246.0,-74979092256.0,
Thuế thu nhập doanh nghiệp (Thuyết minh số 29),Phải nộp > Thuế thu nhập doanh nghiệp (Thuyết minh số 29),Thuế thu nhập doanh nghiệp (Thuyết minh số 29),107.889.276.026,413.514.558.814,(169.205.435.718),352.198.399.122,107889276026.0,413514558814.0,-169205435718.0,352198399122.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.646.477.129,35.840.568.467,(31.163.904.399),6.323.141.197,1646477129.0,35840568467.0,-31163904399.0,6323141197.0
Các khoản phải nộp Nhà nước khác,Phải nộp > Các khoản phải nộp Nhà nước khác,Các khoản phải nộp Nhà nước khác,5.933.827.407,31.361.698.535,(31.167.501.499),6.128.024.443,5933827407.0,31361698535.0,-31167501499.0,6128024443.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,145.333.576.572,525.831.922.062,(306.515.933.872),364.649.564.762,145333576572.0,525831922062.0,-306515933872.0,364649564762.0
,,,Số cuối năm,,,,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng được khấu trừ,Phải thu > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,207.965.514.065,458.635.448.097,(354.749.097.979),311.851.864.183,207965514065.0,458635448097.0,-354749097979.0,311851864183.0
Thuế thu nhập doanh nghiệp (Thuyết minh số 29),Phải thu > Thuế thu nhập doanh nghiệp (Thuyết minh số 29),Thuế thu nhập doanh nghiệp (Thuyết minh số 29),50.121.610.808,23.357.235.080,(6.500.135.670),66.978.710.218,50121610808.0,23357235080.0,-6500135670.0,66978710218.0
Thuế khác,Phải thu > Thuế khác,Thuế khác,3.643.321.220,221.044.975,-,3.864.366.195,3643321220.0,221044975.0,,3864366195.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,261.730.446.093,482.213.728.152,(361.249.233.649),382.694.940.596,261730446093.0,482213728152.0,-361249233649.0,382694940596.0
