row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 20.1),Vay ngắn hạn > Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 20.1),Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 20.1),644.498.712.174,644.498.712.174,108.243.250.730,(634.498.712.174),118.243.250.730,118.243.250.730,644498712174.0,644498712174.0,108243250730.0,-634498712174.0,118243250730.0,118243250730.0
Trái phiếu dài hạn đến hạn trả,Vay ngắn hạn > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,2.882.697.866.159,2.882.697.866.159,1.017.302.133.841,(3.900.000.000.000),-,-,2882697866159.0,2882697866159.0,1017302133841.0,-3900000000000.0,,
Vay các bên liên quan(Thuyết minh số 30),Vay ngắn hạn > Vay các bên liên quan(Thuyết minh số 30),Vay các bên liên quan(Thuyết minh số 30),150.300.000.000,150.300.000.000,-,(120.300.000.000),30.000.000.000,30.000.000.000,150300000000.0,150300000000.0,,-120300000000.0,30000000000.0,30000000000.0
Vay đối tượng khác(Thuyết minh số 20.2),Vay ngắn hạn > Vay đối tượng khác(Thuyết minh số 20.2),Vay đối tượng khác(Thuyết minh số 20.2),273.880.000.000,273.880.000.000,37.030.000.000,(121.830.000.000),189.080.000.000,189.080.000.000,273880000000.0,273880000000.0,37030000000.0,-121830000000.0,189080000000.0,189080000000.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,3.951.376.578.333,3.951.376.578.333,1.162.575.384.571,(4.776.628.712.174),337.323.250.730,337.323.250.730,3951376578333.0,3951376578333.0,1162575384571.0,-4776628712174.0,337323250730.0,337323250730.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh số 20.1),Vay dài hạn > Vay ngân hàng(Thuyết minh số 20.1),Vay ngân hàng(Thuyết minh số 20.1),2.712.419.749.648,2.712.419.749.648,872.834.279.184,(271.704.165.133),3.313.549.863.699,3.313.549.863.699,2712419749648.0,2712419749648.0,872834279184.0,-271704165133.0,3313549863699.0,3313549863699.0
Trái phiếu phát hành,Vay dài hạn > Trái phiếu phát hành,Trái phiếu phát hành,974.669.592.666,974.669.592.666,25.330.407.334,(1.000.000.000.000),-,-,974669592666.0,974669592666.0,25330407334.0,-1000000000000.0,,
Vay đối tượng khác(Thuyết minh số 20.2),Vay dài hạn > Vay đối tượng khác(Thuyết minh số 20.2),Vay đối tượng khác(Thuyết minh số 20.2),-,-,8.500.000.000,-,8.500.000.000,8.500.000.000,,,8500000000.0,,8500000000.0,8500000000.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,3.687.089.342.314,3.687.089.342.314,906.664.686.518,(1.271.704.165.133),3.322.049.863.699,3.322.049.863.699,3687089342314.0,3687089342314.0,906664686518.0,-1271704165133.0,3322049863699.0,3322049863699.0
