row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Phải thu ngắn hạn,198.399.400,-,,198399400.0,
,,,,198.399.400,-,,198399400.0,
Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),,,
Công ty Cổ phần Công nghệ Viễn Ứng trước phi dịch thông Sài Gòn,Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Công ty Cổ phần Công nghệ Viễn Ứng trước phi dịch thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn Ứng trước phi dịch thông Sài Gòn,vụ,1.268.995.600,1.104.294.970,,1268995600.0,1104294970.0
,,,,1.268.995.600,1.104.294.970,,1268995600.0,1104294970.0
Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),,,
Công ty Cổ phần Công nghệ Viễn Cho vay ngắn hạn thông Sài Gòn (i),Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty Cổ phần Công nghệ Viễn Cho vay ngắn hạn thông Sài Gòn (i),Công ty Cổ phần Công nghệ Viễn Cho vay ngắn hạn thông Sài Gòn (i),Công ty Cổ phần Công nghệ Viễn Cho vay ngắn hạn thông Sài Gòn (i),678.131.813.181,490.148.109.224,,678131813181.0,490148109224.0
Công ty TNHH Saigontel Long An,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Cho vay ngắn hạn,158.460.000.000,121.042.660.000,,158460000000.0,121042660000.0
(ii),(ii),(ii),(ii),(ii),(ii),,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội (iii),(ii) > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội (iii),Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội (iii),Cho vay ngắn hạn,143.000.000.000,120.000.000.000,,143000000000.0,120000000000.0
Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng (iv),(ii) > Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng (iv),Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng (iv),Cho vay ngắn hạn,117.521.929.895,197.521.929.895,,117521929895.0,197521929895.0
Công ty Cổ phần Đầu tư Khu Công nghiệp Lê Minh Xuân 2 (v),(ii) > Công ty Cổ phần Đầu tư Khu Công nghiệp Lê Minh Xuân 2 (v),Công ty Cổ phần Đầu tư Khu Công nghiệp Lê Minh Xuân 2 (v),Cho vay ngắn hạn,1.700.000.000,1.700.000.000,,1700000000.0,1700000000.0
,,,,1.098.813.743.076,930.412.699.119,,1098813743076.0,930412699119.0
Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),,,
Công ty Cổ phần Công nghệ Viễn Cho vay dài hạn thông Sài Gòn (vi),Phải thu về cho vay dài hạn (Thuyết minh số 8) > Công ty Cổ phần Công nghệ Viễn Cho vay dài hạn thông Sài Gòn (vi),Công ty Cổ phần Công nghệ Viễn Cho vay dài hạn thông Sài Gòn (vi),Công ty Cổ phần Công nghệ Viễn Cho vay dài hạn thông Sài Gòn (vi),439.000.000.000,124.723.703.957,,439000000000.0,124723703957.0
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng (vii),Phải thu về cho vay dài hạn (Thuyết minh số 8) > Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng (vii),Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng (vii),Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng (vii),85.000.000.000,-,,85000000000.0,
,,,,524.000.000.000,124.723.703.957,,524000000000.0,124723703957.0
