row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,,,
Phí dịch vụ tư vấn,Chi phí bán hàng > Phí dịch vụ tư vấn,Phí dịch vụ tư vấn,334.397.016.452,33.314.251.443,334397016452.0,33314251443.0
Chi phí nhân viên bán hàng,Chi phí bán hàng > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,9.813.600.238,5.027.249.643,9813600238.0,5027249643.0
Khác,Chi phí bán hàng > Khác,Khác,10.201.458.334,7.573.307.832,10201458334.0,7573307832.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,354.412.075.024,45.914.808.918,354412075024.0,45914808918.0
,,,,Đơn vị tính: VND,,
,,,Năm nay,Năm trước,,
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,
Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,197.986.428.287,156.605.916.959,197986428287.0,156605916959.0
Chi phí dự phòng,Chi phí quản lý doanh nghiệp > Chi phí dự phòng,Chi phí dự phòng,63.256.961.110,27.110.126.190,63256961110.0,27110126190.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,61.860.045.509,109.945.309.269,61860045509.0,109945309269.0
Chi phí tài trợ,Chi phí quản lý doanh nghiệp > Chi phí tài trợ,Chi phí tài trợ,51.229.402.768,72.763.587.168,51229402768.0,72763587168.0
Chi phí khấu hao TSCĐ,Chi phí quản lý doanh nghiệp > Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,24.618.462.556,17.590.267.872,24618462556.0,17590267872.0
Khác,Chi phí quản lý doanh nghiệp > Khác,Khác,59.429.432.740,80.445.136.536,59429432740.0,80445136536.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,458.380.732.970,464.460.343.994,458380732970.0,464460343994.0
