row_label_raw,row_label_full,STT,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,3.210.735.650.988,1.887.293.172.111,,300.0,,3210735650988.0,1887293172111.0
I.,I.,I.,Nợ ngắn hạn,310,,712.586.425.247,782.045.882.742,,310.0,,712586425247.0,782045882742.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,V.16,23.356.489.631,38.140.820.441,,311.0,,23356489631.0,38140820441.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,V.17,19.196.896.999,43.592.589.175,,312.0,,19196896999.0,43592589175.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,V.18,230.542.597.721,208.584.584.299,,313.0,,230542597721.0,208584584299.0
4.,4.,4.,Phải trả người lao động,314,,21.056.865.704,11.893.885.512,,314.0,,21056865704.0,11893885512.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,V.20,11.410.550.150,141.660.445.556,,315.0,,11410550150.0,141660445556.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,V.22,5.769.716.978,8.846.504.114,,318.0,,5769716978.0,8846504114.0
7.,7.,7.,Phải trả ngắn hạn khác,319,V.21,247.472.745.992,302.070.183.969,,319.0,,247472745992.0,302070183969.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,V.15,140.288.028.779,18.900.000.000,,320.0,,140288028779.0,18900000000.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,V.23,4.383.521.053,4.303.000.000,,321.0,,4383521053.0,4303000000.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,9.109.012.240,4.053.869.676,,322.0,,9109012240.0,4053869676.0
II.,II.,II.,Nợ dài hạn,330,,2.498.149.225.741,1.105.247.289.369,,330.0,,2498149225741.0,1105247289369.0
1.,1.,1.,Phải trả người bán dài hạn,331,V.16,3.363.621.314,3.922.928.954,,331.0,,3363621314.0,3922928954.0
2.,2.,2.,Doanh thu chưa thực hiện dài hạn,336,V.22,202.857.730.781,208.603.399.206,,336.0,,202857730781.0,208603399206.0
3.,3.,3.,Phải trả dài hạn khác,337,V.21,719.745.961.537,697.176.037.505,,337.0,,719745961537.0,697176037505.0
4.,4.,4.,Vay và nợ thuê tài chính dài hạn,338,V.15,1.532.331.166.911,132.331.166.911,,338.0,,1532331166911.0,132331166911.0
5.,5.,5.,Thuế thu nhập hoãn lại phải trả,341,V.24,39.850.745.198,63.213.756.793,,341.0,,39850745198.0,63213756793.0
D.,D.,D.,VỐN CHỦ SỐ HỮU,400,,1.557.098.831.269,1.099.620.343.791,,400.0,,1557098831269.0,1099620343791.0
I.,I.,I.,Vốn chủ sở hữu,410,V.25,1.557.098.831.269,1.099.620.343.791,,410.0,,1557098831269.0,1099620343791.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.000.000.000.000,3.000.000.000.000,,411.0,,3000000000000.0,3000000000000.0
,,,- Cổ phiếu phố thông có quyền biểu quyết,411a,,3.000.000.000.000,3.000.000.000.000,,,,3000000000000.0,3000000000000.0
2.,2.,2.,Vốn khác của chủ sở hữu,414,,6.269.828.101,6.269.828.101,,414.0,,6269828101.0,6269828101.0
3.,3.,3.,Cổ phiếu quỹ,415,,(10.000),(10.000),,415.0,,-10000.0,-10000.0
4.,4.,4.,Quỹ đầu tư phát triển,418,,105.490.784.620,110.849.900.972,,418.0,,105490784620.0,110849900972.0
5.,5.,5.,Quỹ khác thuộc vốn chủ sở hữu,420,,14.345.072.839,14.345.072.839,,420.0,,14345072839.0,14345072839.0
6.,6.,6.,Lợi nhuận sau thuế chưa phân phối,421,,(2.576.832.511.589),(2.656.756.452.297),,421.0,,-2576832511589.0,-2656756452297.0
,,,Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,(2.663.070.975.657),(2.697.195.076.572),,,,-2663070975657.0,-2697195076572.0
,,,Lợi nhuận sau thuế chưa phân phối năm nay,421b,,86.238.464.068,40.438.624.275,,,,86238464068.0,40438624275.0
7.,7.,7.,Lợi ích cổ đông không kiểm soát,429,,1.007.825.667.298,624.912.004.176,,429.0,,1007825667298.0,624912004176.0
II.,II.,II.,Nguồn kinh phí và quỹ khác,430,,-,-,,430.0,,,
,,,TỔNG CỘNG NGUỒN VỐN,440,,4.767.834.482.257,2.986.913.515.902,,440.0,,4767834482257.0,2986913515902.0
