row_label_raw,row_label_full,Tên công ty con,Địa chỉ,Tỷ lệ lợi ích của tại ngày cuối năm(%),Quyền biểu quyết > Cuốinăm(%),Quyền biểu quyết > Đầunăm(%),Hoạt động kinh doanh chính,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích của tại ngày cuối năm(%),numeric__Quyền biểu quyết > Cuốinăm(%),numeric__Quyền biểu quyết > Đầunăm(%),numeric__Hoạt động kinh doanh chính
Công ty Cổ phần Tân Việt,Công ty Cổ phần Tân Việt,Công ty Cổ phần Tân Việt,Nha Trang,"28,59%","100,00%","100,00%",Kinh doanh khách sạn,,0.2859,1.0,1.0,
Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Hồ ChíMinh,"28,23%","100,00%","100,00%","Sản xuất, kinh doanh các loại bánh",,0.2823,1.0,1.0,
Công ty Cổ phần Viptour – Togi,Công ty Cổ phần Viptour – Togi,Công ty Cổ phần Viptour – Togi,Hà Nội,"47,89%","100,00%","100,00%","Đầu tư, thực hiện dự án",,0.4789,1.0,1.0,
Công ty Cổ phần Truyền thông Đại Dương (Công ty con đến ngày 09/06/2023),Công ty Cổ phần Truyền thông Đại Dương (Công ty con đến ngày 09/06/2023),Công ty Cổ phần Truyền thông Đại Dương (Công ty con đến ngày 09/06/2023),Hà Nội,-,-,"100,00%",Dịch vụ,,,,1.0,
Công ty TNHH MTV Sao Hôm Nha Trang,Công ty TNHH MTV Sao Hôm Nha Trang,Công ty TNHH MTV Sao Hôm Nha Trang,Nha Trang,"55,60%","100,00%","100,00%",Kinh doanh khách sạn,,0.556,1.0,1.0,
Công ty Cổ phần Kem Tràng Tiền,Công ty Cổ phần Kem Tràng Tiền,Công ty Cổ phần Kem Tràng Tiền,Hà Nội,"36,68%","100,00%","100,00%","Sản xuất, kinh doanh các loại bánh, kem",,0.3668,1.0,1.0,
