row_label_raw,row_label_full,col_0,"Bán hàng hóa, thành phẩm",Dịch vụ,Bất động sản,Hoạt động đầu tư và hoạt động khác,Đơn vị tính: VND,Đơn vị tính: VND_1,"numeric__Bán hàng hóa, thành phẩm",numeric__Dịch vụ,numeric__Bất động sản,numeric__Hoạt động đầu tư và hoạt động khác,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1
,,,"Bán hàng hóa, thành phẩm",Dịch vụ,Bất động sản,Hoạt động đầu tư và hoạt động khác,Loại trừ,Cộng,,,,,,
Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,,,,,,
- Doanh thu thuần từ bán hàng ra bên ngoài,Năm 2023 > - Doanh thu thuần từ bán hàng ra bên ngoài,- Doanh thu thuần từ bán hàng ra bên ngoài,868.098.083.329,114.046.227.320,2.000.000.000,540.544.836,-,984.684.855.485,868098083329.0,114046227320.0,2000000000.0,540544836.0,,984684855485.0
- Chi phí phân bổ,Năm 2023 > - Chi phí phân bổ,- Chi phí phân bổ,662.829.370.925,182.395.930.928,5.545.995.838,(48.906.892.455),-,801.864.405.236,662829370925.0,182395930928.0,5545995838.0,-48906892455.0,,801864405236.0
- Lợi nhuận từ hoạt động KD,Năm 2023 > - Lợi nhuận từ hoạt động KD,- Lợi nhuận từ hoạt động KD,205.268.712.404,(68.349.703.608),(3.545.995.838),49.447.437.291,-,182.820.450.249,205268712404.0,-68349703608.0,-3545995838.0,49447437291.0,,182820450249.0
- Tổng chi phí đã phát sinh để mua tài sản cố định và tài sản dài hạn,Năm 2023 > - Tổng chi phí đã phát sinh để mua tài sản cố định và tài sản dài hạn,- Tổng chi phí đã phát sinh để mua tài sản cố định và tài sản dài hạn,20.575.620.703,2.115.064.853,5.911.167.226,4.627.121,-,28.606.479.903,20575620703.0,2115064853.0,5911167226.0,4627121.0,,28606479903.0
- Tổng chi phí khấu hao TSCĐ và phân bổ chi phí trả trước dài hạn,Năm 2023 > - Tổng chi phí khấu hao TSCĐ và phân bổ chi phí trả trước dài hạn,- Tổng chi phí khấu hao TSCĐ và phân bổ chi phí trả trước dài hạn,28.955.032.520,67.002.357.508,74.223.766,156.832.559,-,96.188.446.353,28955032520.0,67002357508.0,74223766.0,156832559.0,,96188446353.0
Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,,,,,,
- Tài sản trực tiếp của bộ phận,Số dư tại ngày 31/12/2023 > - Tài sản trực tiếp của bộ phận,- Tài sản trực tiếp của bộ phận,1.308.493.949.398,915.361.586.505,454.679.249.154,2.764.850.040.490,(918.242.216.743),4.525.142.608.804,1308493949398.0,915361586505.0,454679249154.0,2764850040490.0,-918242216743.0,4525142608804.0
- Tài sản không phân bổ,Số dư tại ngày 31/12/2023 > - Tài sản không phân bổ,- Tài sản không phân bổ,,,,,,242.691.873.453,,,,,,242691873453.0
Tổng tài sản,Số dư tại ngày 31/12/2023 > Tổng tài sản,Tổng tài sản,1.308.493.949.398,915.361.586.505,454.679.249.154,2.764.850.040.490,(918.242.216.743),4.767.834.482.257,1308493949398.0,915361586505.0,454679249154.0,2764850040490.0,-918242216743.0,4767834482257.0
- Nợ phải trả bộ phận,Số dư tại ngày 31/12/2023 > - Nợ phải trả bộ phận,- Nợ phải trả bộ phận,2.049.881.552.272,706.316.630.219,750.823.145.977,6.317.641.045,(351.563.075.963),3.161.775.893.550,2049881552272.0,706316630219.0,750823145977.0,6317641045.0,-351563075963.0,3161775893550.0
- Nợ phải trả không phân bổ,Số dư tại ngày 31/12/2023 > - Nợ phải trả không phân bổ,- Nợ phải trả không phân bổ,,,,,,48.959.757.438,,,,,,48959757438.0
Tổng nợ phải trả,Số dư tại ngày 31/12/2023 > Tổng nợ phải trả,Tổng nợ phải trả,2.049.881.552.272,706.316.630.219,750.823.145.977,6.317.641.045,(351.563.075.963),3.210.735.650.988,2049881552272.0,706316630219.0,750823145977.0,6317641045.0,-351563075963.0,3210735650988.0
