row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
a. Vay ngắn hạn,a. Vay ngắn hạn,a. Vay ngắn hạn,18.900.000.000,18.900.000.000,140.288.028.779,18.900.000.000,140.288.028.779,140.288.028.779,18900000000.0,18900000000.0,140288028779.0,18900000000.0,140288028779.0,140288028779.0
- Vay ngân hàng,- Vay ngân hàng,- Vay ngân hàng,-,-,21.388.028.779,-,21.388.028.779,21.388.028.779,,,21388028779.0,,21388028779.0,21388028779.0
+ Ngân hàng TMCP Ngoại thương Việt Nam- CN Khánh Hòa (a),+ Ngân hàng TMCP Ngoại thương Việt Nam- CN Khánh Hòa (a),+ Ngân hàng TMCP Ngoại thương Việt Nam- CN Khánh Hòa (a),-,-,21.388.028.779,-,21.388.028.779,21.388.028.779,,,21388028779.0,,21388028779.0,21388028779.0
- Vay dài hạn đến hạn trả,- Vay dài hạn đến hạn trả,- Vay dài hạn đến hạn trả,18.900.000.000,18.900.000.000,118.900.000.000,18.900.000.000,118.900.000.000,118.900.000.000,18900000000.0,18900000000.0,118900000000.0,18900000000.0,118900000000.0,118900000000.0
+ Cá nhân mua nợ (b),+ Cá nhân mua nợ (b),+ Cá nhân mua nợ (b),-,-,18.900.000.000,-,18.900.000.000,18.900.000.000,,,18900000000.0,,18900000000.0,18900000000.0
+ Ngân hàng Thương mại TNHH MTV Đại Dương (b),+ Ngân hàng Thương mại TNHH MTV Đại Dương (b),+ Ngân hàng Thương mại TNHH MTV Đại Dương (b),18.900.000.000,18.900.000.000,-,18.900.000.000,-,-,18900000000.0,18900000000.0,,18900000000.0,,
+ Ngân hàng TMCP Công Thương Việt Nam (c),+ Ngân hàng TMCP Công Thương Việt Nam (c),+ Ngân hàng TMCP Công Thương Việt Nam (c),-,-,100.000.000.000,-,100.000.000.000,100.000.000.000,,,100000000000.0,,100000000000.0,100000000000.0
b. Vay dài hạn,b. Vay dài hạn,b. Vay dài hạn,132.331.166.911,132.331.166.911,1.632.331.166.911,232.331.166.911,1.532.331.166.911,1.532.331.166.911,132331166911.0,132331166911.0,1632331166911.0,232331166911.0,1532331166911.0,1532331166911.0
- Vay ngân hàng,- Vay ngân hàng,- Vay ngân hàng,132.331.166.911,132.331.166.911,1.500.000.000.000,232.331.166.911,1.400.000.000.000,1.400.000.000.000,132331166911.0,132331166911.0,1500000000000.0,232331166911.0,1400000000000.0,1400000000000.0
+ Ngân hàng Thương mại TNHH MTV Đại Dương (b),+ Ngân hàng Thương mại TNHH MTV Đại Dương (b),+ Ngân hàng Thương mại TNHH MTV Đại Dương (b),132.331.166.911,132.331.166.911,-,132.331.166.911,-,-,132331166911.0,132331166911.0,,132331166911.0,,
+ Ngân hàng TMCP Công Thương Việt Nam (c),+ Ngân hàng TMCP Công Thương Việt Nam (c),+ Ngân hàng TMCP Công Thương Việt Nam (c),-,-,1.500.000.000.000,100.000.000.000,1.400.000.000.000,1.400.000.000.000,,,1500000000000.0,100000000000.0,1400000000000.0,1400000000000.0
- Vay đối tượng khác,- Vay đối tượng khác,- Vay đối tượng khác,-,-,132.331.166.911,-,132.331.166.911,132.331.166.911,,,132331166911.0,,132331166911.0,132331166911.0
+ Cá nhân mua nợ (b),+ Cá nhân mua nợ (b),+ Cá nhân mua nợ (b),-,-,132.331.166.911,-,132.331.166.911,132.331.166.911,,,132331166911.0,,132331166911.0,132331166911.0
Cộng,Cộng,Cộng,151.231.166.911,151.231.166.911,1.772.619.195.690,251.231.166.911,1.672.619.195.690,1.672.619.195.690,151231166911.0,151231166911.0,1772619195690.0,251231166911.0,1672619195690.0,1672619195690.0
