row_label_raw,row_label_full,07. Nợ xấu,07. Nợ xấu_1,07. Nợ xấu_2,07. Nợ xấu_3,07. Nợ xấu_4,numeric__07. Nợ xấu_1,numeric__07. Nợ xấu_2,numeric__07. Nợ xấu_3,numeric__07. Nợ xấu_4
,,,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,191.139.563.699,(173.868.891.664),152.326.906.427,(150.421.082.404),191139563699.0,-173868891664.0,152326906427.0,-150421082404.0
- Phải thu về cho vay,- Phải thu về cho vay,- Phải thu về cho vay,6.000.000.000,(6.000.000.000),7.400.000.000,(7.400.000.000),6000000000.0,-6000000000.0,7400000000.0,-7400000000.0
- Phải thu khách hàng,- Phải thu khách hàng,- Phải thu khách hàng,7.464.341.026,(7.464.341.026),17.531.631.826,(15.771.806.157),7464341026.0,-7464341026.0,17531631826.0,-15771806157.0
- Phải thu khác,- Phải thu khác,- Phải thu khác,131.656.859.686,(131.650.789.686),121.511.863.799,(121.511.863.799),131656859686.0,-131650789686.0,121511863799.0,-121511863799.0
- Tài sản thiếu chờ xử lý,- Tài sản thiếu chờ xử lý,- Tài sản thiếu chờ xử lý,1.831.540.834,(1.831.540.834),3.999.078.691,(3.853.080.337),1831540834.0,-1831540834.0,3999078691.0,-3853080337.0
- Trả trước cho người bán,- Trả trước cho người bán,- Trả trước cho người bán,44.186.822.153,(26.922.220.118),1.650.083.870,(1.650.083.870),44186822153.0,-26922220118.0,1650083870.0,-1650083870.0
- Thuế và các khoản phải thu Nhà nước,- Thuế và các khoản phải thu Nhà nước,- Thuế và các khoản phải thu Nhà nước,-,-,234.248.241,(234.248.241),,,234248241.0,-234248241.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,44.383.247.680,(44.383.247.680),70.402.807.202,(70.402.807.202),44383247680.0,-44383247680.0,70402807202.0,-70402807202.0
- Trả trước cho người bán,- Trả trước cho người bán,- Trả trước cho người bán,-,-,70.402.807.202,(70.402.807.202),,,70402807202.0,-70402807202.0
- Phải thu khác,- Phải thu khác,- Phải thu khác,44.383.247.680,(44.383.247.680),-,-,44383247680.0,-44383247680.0,,
Cộng,Cộng,Cộng,235.522.811.379,(218.252.139.344),222.729.713.629,(220.823.889.606),235522811379.0,-218252139344.0,222729713629.0,-220823889606.0
08. Tài sản thiếu chờ xử lý,08. Tài sản thiếu chờ xử lý,08. Tài sản thiếu chờ xử lý,08. Tài sản thiếu chờ xử lý,08. Tài sản thiếu chờ xử lý,08. Tài sản thiếu chờ xử lý,08. Tài sản thiếu chờ xử lý,,,,
,,,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,
,,,Giá trị,Dự phòng,Giá trị,Dự phòng,,,,
- Hàng tồn kho và chênh lệch công nợ không rõ nguyên nhân,08. Tài sản thiếu chờ xử lý > - Hàng tồn kho và chênh lệch công nợ không rõ nguyên nhân,- Hàng tồn kho và chênh lệch công nợ không rõ nguyên nhân,1.831.713.688,(1.831.540.834),1.839.265.296,(1.831.540.834),1831713688.0,-1831540834.0,1839265296.0,-1831540834.0
- Tài sản khác,08. Tài sản thiếu chờ xử lý > - Tài sản khác,- Tài sản khác,156.015.816,-,2.159.813.395,(2.021.539.503),156015816.0,,2159813395.0,-2021539503.0
Cộng,08. Tài sản thiếu chờ xử lý > Cộng,Cộng,1.987.729.504,(1.831.540.834),3.999.078.691,(3.853.080.337),1987729504.0,-1831540834.0,3999078691.0,-3853080337.0
