row_label_raw,row_label_full,Tại ngày cuối năm,Từ 1 năm trở xuống > Tại ngày cuối năm,Trên 1 năm đến 5 năm > Tại ngày cuối năm,Trên 5 năm > Tại ngày cuối năm,Cộng > Tại ngày cuối năm,numeric__Từ 1 năm trở xuống > Tại ngày cuối năm,numeric__Trên 1 năm đến 5 năm > Tại ngày cuối năm,numeric__Trên 5 năm > Tại ngày cuối năm,numeric__Cộng > Tại ngày cuối năm
Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,23.356.489.631,3.363.621.314,-,26.720.110.945,23356489631.0,3363621314.0,,26720110945.0
Vay và nợ,Vay và nợ,Vay và nợ,140.288.028.779,400.000.000.000,1.132.331.166.911,1.672.619.195.690,140288028779.0,400000000000.0,1132331166911.0,1672619195690.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,11.410.550.150,-,-,11.410.550.150,11410550150.0,,,11410550150.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,66.965.375.047,3.725.000.000,222.416.141.442,293.106.516.489,66965375047.0,3725000000.0,222416141442.0,293106516489.0
Cộng,Cộng,Cộng,242.020.443.607,407.088.621.314,1.354.747.308.353,2.003.856.373.274,242020443607.0,407088621314.0,1354747308353.0,2003856373274.0
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,,,,
Phải trả cho người bán,Tại ngày đầu năm > Phải trả cho người bán,Phải trả cho người bán,38.140.820.441,3.922.928.954,-,42.063.749.395,38140820441.0,3922928954.0,,42063749395.0
Vay và nợ,Tại ngày đầu năm > Vay và nợ,Vay và nợ,18.900.000.000,7.200.000.000,125.131.166.911,151.231.166.911,18900000000.0,7200000000.0,125131166911.0,151231166911.0
Chi phí phải trả,Tại ngày đầu năm > Chi phí phải trả,Chi phí phải trả,16.961.184.514,-,-,16.961.184.514,16961184514.0,,,16961184514.0
Các khoản phải trả khác,Tại ngày đầu năm > Các khoản phải trả khác,Các khoản phải trả khác,173.774.024.173,2.800.000.000,196.526.117.891,373.100.142.064,173774024173.0,2800000000.0,196526117891.0,373100142064.0
Cộng,Tại ngày đầu năm > Cộng,Cộng,247.776.029.128,13.922.928.954,321.657.284.802,583.356.242.884,247776029128.0,13922928954.0,321657284802.0,583356242884.0
