row_label_raw,row_label_full,col_0,Trang,numeric__Trang
Báo cáo của Tổng Giám đốc,Báo cáo của Tổng Giám đốc,Báo cáo của Tổng Giám đốc,2 – 3,
Báo cáo kiểm toán độc lập,Báo cáo kiểm toán độc lập,Báo cáo kiểm toán độc lập,4 – 6,
Báo cáo tài chính hợp nhất đã được kiểm toán,Báo cáo tài chính hợp nhất đã được kiểm toán,Báo cáo tài chính hợp nhất đã được kiểm toán,7 – 59,
Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,7 – 9,
Báo cáo kết quả hoạt động kinh doanh hợp nhất,Bảng cân đối kế toán hợp nhất > Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,10,10.0
Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,11 – 12,
Bản thuyết minh Báo cáo tài chính hợp nhất,Bản thuyết minh Báo cáo tài chính hợp nhất,Bản thuyết minh Báo cáo tài chính hợp nhất,13 – 59,
