row_label_raw,row_label_full,Khoản mục,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải, truyền dẫn",Thiết bị dụng cụ quản lý,Tài sản cố định hữu hình khác,Tổng cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải, truyền dẫn",numeric__Thiết bị dụng cụ quản lý,numeric__Tài sản cố định hữu hình khác,numeric__Tổng cộng
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,,,,
Số dư đầu năm,I. Nguyên giá > Số dư đầu năm,Số dư đầu năm,717.798.416.438,234.771.375.669,37.859.627.053,1.325.686.850,10.442.677.007,1.002.197.783.017,717798416438.0,234771375669.0,37859627053.0,1325686850.0,10442677007.0,1002197783017.0
- Mua trong năm,I. Nguyên giá > - Mua trong năm,- Mua trong năm,819.982.440,11.310.851.700,2.443.153.635,454.255.073,334.948.000,15.363.190.848,819982440.0,11310851700.0,2443153635.0,454255073.0,334948000.0,15363190848.0
- Chuyển sang chi phí trả trước dài hạn (*),I. Nguyên giá > - Chuyển sang chi phí trả trước dài hạn (*),- Chuyển sang chi phí trả trước dài hạn (*),(189.383.774.997),-,-,-,-,(189.383.774.997),-189383774997.0,,,,,-189383774997.0
"- Thanh lý, nhượng bán","I. Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(1.139.122.046),(5.532.845.934),(4.523.712.728),-,(374.504.467),(11.570.185.175),-1139122046.0,-5532845934.0,-4523712728.0,,-374504467.0,-11570185175.0
Số dư cuối năm,I. Nguyên giá > Số dư cuối năm,Số dư cuối năm,530.861.285.744,248.059.308.617,36.522.734.323,1.779.941.923,10.403.120.540,827.626.391.147,530861285744.0,248059308617.0,36522734323.0,1779941923.0,10403120540.0,827626391147.0
II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,,,,,,
Số dư đầu năm,II. Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,221.684.455.658,133.008.542.920,25.959.536.185,1.098.930.888,8.579.679.467,390.331.145.118,221684455658.0,133008542920.0,25959536185.0,1098930888.0,8579679467.0,390331145118.0
- Khấu hao trong năm,II. Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,20.974.902.868,12.007.184.394,2.815.264.504,65.508.882,765.590.443,36.628.451.091,20974902868.0,12007184394.0,2815264504.0,65508882.0,765590443.0,36628451091.0
- Chuyển sang chi phí trả trước dài hạn (*),II. Giá trị hao mòn luỹ kế > - Chuyển sang chi phí trả trước dài hạn (*),- Chuyển sang chi phí trả trước dài hạn (*),(47.980.828.466),-,-,-,-,(47.980.828.466),-47980828466.0,,,,,-47980828466.0
"- Thanh lý, nhượng bán","II. Giá trị hao mòn luỹ kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(1.132.366.682),(5.532.845.934),(4.443.314.655),-,(374.504.467),(11.483.031.738),-1132366682.0,-5532845934.0,-4443314655.0,,-374504467.0,-11483031738.0
- Phân loại lại,- Phân loại lại,- Phân loại lại,-,-,-,-,-,-,,,,,,
Số dư cuối năm,- Phân loại lại > Số dư cuối năm,Số dư cuối năm,195.154.112.618,142.955.375.179,24.789.603.579,1.164.439.770,8.970.765.443,373.034.296.589,195154112618.0,142955375179.0,24789603579.0,1164439770.0,8970765443.0,373034296589.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,496.113.960.780,101.762.832.749,11.900.090.868,226.755.962,1.862.997.540,611.866.637.899,496113960780.0,101762832749.0,11900090868.0,226755962.0,1862997540.0,611866637899.0
2. Tại ngày cuối năm,III. Giá trị còn lại > 2. Tại ngày cuối năm,2. Tại ngày cuối năm,335.707.173.126,105.103.933.438,11.733.130.744,615.502.153,1.432.355.097,454.592.094.558,335707173126.0,105103933438.0,11733130744.0,615502153.0,1432355097.0,454592094558.0
