row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuê chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuê chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.000.000.000.000,6.269.828.101,(10.000),110.830.404.280,14.345.072.839,(2.692.464.990.752),611.085.119.255,1.050.065.423.723,3000000000000.0,6269828101.0,-10000.0,110830404280.0,14345072839.0,-2692464990752.0,611085119255.0,1050065423723.0
Lãi/(Lỗ) trong năm,Lãi/(Lỗ) trong năm,Lãi/(Lỗ) trong năm,-,-,-,-,-,40.438.624.275,18.625.074.315,59.063.698.590,,,,,,40438624275.0,18625074315.0,59063698590.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,246.442.370,212.368.602,458.810.972,,,,,,246442370.0,212368602.0,458810972.0
Tăng quỹ đầu tư phát triển tại Công ty con do thay đổi tỷ lệ sở hữu,Tăng quỹ đầu tư phát triển tại Công ty con do thay đổi tỷ lệ sở hữu,Tăng quỹ đầu tư phát triển tại Công ty con do thay đổi tỷ lệ sở hữu,-,-,-,19.496.692,-,-,-,19.496.692,,,,19496692.0,,,,19496692.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,(991.434.589),(674.651.597),(1.666.086.186),,,,,,-991434589.0,-674651597.0,-1666086186.0
Giảm do mua thêm cổ phần tại Công ty con,Giảm do mua thêm cổ phần tại Công ty con,Giảm do mua thêm cổ phần tại Công ty con,-,-,-,-,-,(3.985.093.601),(4.335.906.399),(8.321.000.000),,,,,,-3985093601.0,-4335906399.0,-8321000000.0
Phân phối lợi nhuận tại Công ty con,Phân phối lợi nhuận tại Công ty con,Phân phối lợi nhuận tại Công ty con,-,-,-,-,-,-,-,-,,,,,,,,
Số dư cuối năm trước,Phân phối lợi nhuận tại Công ty con > Số dư cuối năm trước,Số dư cuối năm trước,3.000.000.000.000,6.269.828.101,(10.000),110.849.900.972,14.345.072.839,(2.656.756.452.297),624.912.004.176,1.099.620.343.791,3000000000000.0,6269828101.0,-10000.0,110849900972.0,14345072839.0,-2656756452297.0,624912004176.0,1099620343791.0
Tăng vốn trong năm,Phân phối lợi nhuận tại Công ty con > Tăng vốn trong năm,Tăng vốn trong năm,-,-,-,-,-,-,320.000.000.000,320.000.000.000,,,,,,,320000000000.0,320000000000.0
Lãi/(Lỗ) trong năm,Phân phối lợi nhuận tại Công ty con > Lãi/(Lỗ) trong năm,Lãi/(Lỗ) trong năm,-,-,-,-,-,94.080.442.324,47.180.493.964,141.260.936.288,,,,,,94080442324.0,47180493964.0,141260936288.0
Tăng do thanh lý Công ty con của OCH,Phân phối lợi nhuận tại Công ty con > Tăng do thanh lý Công ty con của OCH,Tăng do thanh lý Công ty con của OCH,-,-,-,-,-,-,1.402.823.380,1.402.823.380,,,,,,,1402823380.0,1402823380.0
Tăng/giảm do thay đổi tỷ lệ lợi ích tại Công ty con,Phân phối lợi nhuận tại Công ty con > Tăng/giảm do thay đổi tỷ lệ lợi ích tại Công ty con,Tăng/giảm do thay đổi tỷ lệ lợi ích tại Công ty con,-,-,-,(5.359.116.352),-,(7.841.978.256),14.949.077.201,1.747.982.593,,,,-5359116352.0,,-7841978256.0,14949077201.0,1747982593.0
Phân phối lợi nhuận tại các công ty,Phân phối lợi nhuận tại Công ty con > Phân phối lợi nhuận tại các công ty,Phân phối lợi nhuận tại các công ty,-,-,-,-,-,(3.970.637.365),(2.805.455.869),(6.776.093.234),,,,,,-3970637365.0,-2805455869.0,-6776093234.0
Tăng/ Giảm khác,Phân phối lợi nhuận tại Công ty con > Tăng/ Giảm khác,Tăng/ Giảm khác,-,-,-,-,-,(2.343.885.995),2.186.724.446,(157.161.549),,,,,,-2343885995.0,2186724446.0,-157161549.0
Số dư cuối năm,Phân phối lợi nhuận tại Công ty con > Số dư cuối năm,Số dư cuối năm,3.000.000.000.000,6.269.828.101,(10.000),105.490.784.620,14.345.072.839,(2.576.832.511.589),1.007.825.667.298,1.557.098.831.269,3000000000000.0,6269828101.0,-10000.0,105490784620.0,14345072839.0,-2576832511589.0,1007825667298.0,1557098831269.0
