row_label_raw,row_label_full,STT,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGÂN HẠN,100,,614.489.696.098,1.309.105.460.491,,100.0,,614489696098.0,1309105460491.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.01,197.951.313.504,734.575.768.905,,110.0,,197951313504.0,734575768905.0
1.,1.,1.,Tiền,111,,60.198.469.684,61.438.200.446,,111.0,,60198469684.0,61438200446.0
2.,2.,2.,Các khoản tương đương tiền,112,,137.752.843.820,673.137.568.459,,112.0,,137752843820.0,673137568459.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,V.02,50.611.780.230,21.043.488.200,,120.0,,50611780230.0,21043488200.0
1.,1.,1.,Chứng khoán kinh doanh,121,V.02a,21.755.664.092,21.755.664.092,,121.0,,21755664092.0,21755664092.0
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,V.02a,(15.476.895.892),(14.043.645.892),,122.0,,-15476895892.0,-14043645892.0
3.,3.,3.,Đầu tư nằm giữ đến ngày đáo hạn,123,V.02b,44.333.012.030,13.331.470.000,,123.0,,44333012030.0,13331470000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,99.384.724.280,347.591.871.584,,130.0,,99384724280.0,347591871584.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.03,20.875.916.647,62.931.960.258,,131.0,,20875916647.0,62931960258.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,V.04,63.825.106.297,198.223.834.820,,132.0,,63825106297.0,198223834820.0
5.,5.,5.,Phải thu về cho vay ngắn hạn,135,V.05,6.000.000.000,7.400.000.000,,135.0,,6000000000.0,7400000000.0
6.,6.,6.,Phải thu ngắn hạn khác,136,V.06,180.564.863.496,225.458.080.219,,136.0,,180564863496.0,225458080219.0
7.,7.,7.,Dự phòng phải thu ngắn hạn khó đòi (*),137,V.07,(173.868.891.664),(150.421.082.404),,137.0,,-173868891664.0,-150421082404.0
8.,8.,8.,Tài sản thiếu chờ xử lý,139,V.08,1.987.729.504,3.999.078.691,,139.0,,1987729504.0,3999078691.0
IV.,IV.,IV.,Hàng tồn kho,140,V.09,238.774.111.966,177.564.624.375,,140.0,,238774111966.0,177564624375.0
1.,1.,1.,Hàng tồn kho,141,,341.027.338.739,279.835.391.496,,141.0,,341027338739.0,279835391496.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho (*),149,,(102.253.226.773),(102.270.767.121),,149.0,,-102253226773.0,-102270767121.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,27.767.766.118,28.329.707.427,,150.0,,27767766118.0,28329707427.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,V.14,3.215.357.661,3.972.820.016,,151.0,,3215357661.0,3972820016.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,15.167.580.641,14.713.105.580,,152.0,,15167580641.0,14713105580.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,V.18,9.384.827.816,9.643.781.831,,153.0,,9384827816.0,9643781831.0
