row_label_raw,row_label_full,col_0,Mã số,Số liệu theo Báo cáo tài chính đã kiểm toán năm trước,Số điều chỉnh,Số liệu sau điều chỉnh(Trình bày lại),numeric__Mã số,numeric__Số liệu theo Báo cáo tài chính đã kiểm toán năm trước,numeric__Số điều chỉnh,numeric__Số liệu sau điều chỉnh(Trình bày lại)
Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,,,,
A. NỘ PHẢI TRẢ,Băng cân đối kế toán > A. NỘ PHẢI TRẢ,A. NỘ PHẢI TRẢ,300,1.923.408.694.333,(36.115.522.222),1.887.293.172.111,300.0,1923408694333.0,-36115522222.0,1887293172111.0
I. Nợ ngắn hạn,Băng cân đối kế toán > I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,794.787.616.804,(12.741.734.062),782.045.882.742,310.0,794787616804.0,-12741734062.0,782045882742.0
9. Phải trả ngắn hạn khác,Băng cân đối kế toán > 9. Phải trả ngắn hạn khác,9. Phải trả ngắn hạn khác,319,314.811.918.031,(12.741.734.062),302.070.183.969,319.0,314811918031.0,-12741734062.0,302070183969.0
II. Nợ dài hạn,Băng cân đối kế toán > II. Nợ dài hạn,II. Nợ dài hạn,330,1.128.621.077.529,(23.373.788.160),1.105.247.289.369,330.0,1128621077529.0,-23373788160.0,1105247289369.0
7. Phải trả dài hạn khác,Băng cân đối kế toán > 7. Phải trả dài hạn khác,7. Phải trả dài hạn khác,337,720.549.825.665,(23.373.788.160),697.176.037.505,337.0,720549825665.0,-23373788160.0,697176037505.0
B. VỐN CHỦ SỞ HỮU,Băng cân đối kế toán > B. VỐN CHỦ SỞ HỮU,B. VỐN CHỦ SỞ HỮU,400,1.063.504.821.569,36.115.522.222,1.099.620.343.791,400.0,1063504821569.0,36115522222.0,1099620343791.0
I. Vốn chủ sở hữu,Băng cân đối kế toán > I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,1.063.504.821.569,36.115.522.222,1.099.620.343.791,410.0,1063504821569.0,36115522222.0,1099620343791.0
11. Lợi nhuận sau thuế chưa phân phối,Băng cân đối kế toán > 11. Lợi nhuận sau thuế chưa phân phối,11. Lợi nhuận sau thuế chưa phân phối,421,(2.690.707.564.259),33.951.111.962,(2.656.756.452.297),421.0,-2690707564259.0,33951111962.0,-2656756452297.0
Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,Băng cân đối kế toán > Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,(2.731.146.188.534),33.951.111.962,(2.697.195.076.572),,-2731146188534.0,33951111962.0,-2697195076572.0
13. Lợi ích cổ đông không kiểm soát,Băng cân đối kế toán > 13. Lợi ích cổ đông không kiểm soát,13. Lợi ích cổ đông không kiểm soát,429,622.747.593.916,2.164.410.260,624.912.004.176,429.0,622747593916.0,2164410260.0,624912004176.0
