row_label_raw,row_label_full,STT,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,4.153.344.786.159,1.677.808.055.411,,200.0,,4153344786159.0,1677808055411.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,648.752.261.270,156.221.611.776,,210.0,,648752261270.0,156221611776.0
2.,2.,2.,Trả trước cho người bán dài hạn,212,V.04,-,222.821.738.555,,212.0,,,222821738555.0
4.,4.,4.,Phải thu dài hạn khác,216,V.06,693.135.508.950,3.802.680.423,,216.0,,693135508950.0,3802680423.0
5.,5.,5.,Dự phòng phải thu dài hạn khó đòi (*),219,V.07,(44.383.247.680),(70.402.807.202),,219.0,,-44383247680.0,-70402807202.0
II.,II.,II.,Tài sản cố định,220,,512.672.371.098,671.382.131.034,,220.0,,512672371098.0,671382131034.0
1.,1.,1.,Tài sản cố định hữu hình,221,V.11,454.592.094.558,611.866.637.899,,221.0,,454592094558.0,611866637899.0
,,,- Nguyên giá,222,,827.626.391.147,1.002.197.783.017,,222.0,,827626391147.0,1002197783017.0
,,,- Giá trị hao mòn lũy kế (*),223,,(373.034.296.589),(390.331.145.118),,223.0,,-373034296589.0,-390331145118.0
3.,3.,3.,Tài sản cố định vô hình,227,V.12,58.080.276.540,59.515.493.135,,227.0,,58080276540.0,59515493135.0
,,,- Nguyên giá,228,,75.452.223.786,74.835.066.231,,228.0,,75452223786.0,74835066231.0
,,,- Giá trị hao mòn lũy kế (*),229,,(17.371.947.246),(15.319.573.096),,229.0,,-17371947246.0,-15319573096.0
III.,III.,III.,Bất động sản đầu tư,230,V.13,22.383.906.237,23.589.099.921,,230.0,,22383906237.0,23589099921.0
1.,1.,1.,Nguyên giá,231,,36.155.810.460,36.155.810.460,,231.0,,36155810460.0,36155810460.0
2.,2.,2.,Giá trị hao mòn lũy kế (*),232,,(13.771.904.223),(12.566.710.539),,232.0,,-13771904223.0,-12566710539.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,V.10,210.947.648.528,281.081.874.947,,240.0,,210947648528.0,281081874947.0
1.,1.,1.,"Chỉ phí sản xuất, kinh doanh dở dang dài hạn",241,,-,-,,241.0,,,
2.,2.,2.,Chỉ phí xây dựng cơ bản dở dang,242,,210.947.648.528,281.081.874.947,,242.0,,210947648528.0,281081874947.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,,2.257.159.474.745,156.980.177.044,,250.0,,2257159474745.0,156980177044.0
1.,1.,1.,Đầu tư vào công ty con,251,,-,-,,251.0,,,
2.,2.,2.,"Đầu tư vào công ty liên kết, liên doanh",252,V.02c,2.257.159.474.745,152.127.743.417,,252.0,,2257159474745.0,152127743417.0
3.,3.,3.,Đầu tư góp vốn vào đơn vị khác,253,V.02d,18.423.700.000,41.203.700.000,,253.0,,18423700000.0,41203700000.0
4.,4.,4.,Dự phòng giảm giá đầu tư tài chính dài hạn (*),254,V.02d,(18.423.700.000),(36.351.266.373),,254.0,,-18423700000.0,-36351266373.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,501.429.124.281,388.553.160.689,,260.0,,501429124281.0,388553160689.0
1.,1.,1.,Chỉ phí trả trước dài hạn,261,V.14,462.647.977.447,336.540.593.677,,261.0,,462647977447.0,336540593677.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,V.24,407.547.919,183.000.675,,262.0,,407547919.0,183000675.0
3.,3.,3.,Lợi thế thương mại,269,V.19,38.373.598.915,51.829.566.337,,269.0,,38373598915.0,51829566337.0
,,,TỔNG CỘNG TÀI SẢN,270,,4.767.834.482.257,2.986.913.515.902,,270.0,,4767834482257.0,2986913515902.0
