row_label_raw,row_label_full,col_0,Trang trại,Trang trại_1,Thịt và các sản phẩm từ thịt,Thịt và các sản phẩm từ thịt_1,Loại trừ,Loại trừ_1,Hợp nhất,Hợp nhất_1,numeric__Trang trại,numeric__Trang trại_1,numeric__Thịt và các sản phẩm từ thịt,numeric__Thịt và các sản phẩm từ thịt_1,numeric__Loại trừ,numeric__Loại trừ_1,numeric__Hợp nhất,numeric__Hợp nhất_1
,,,2024VND,2023VND,2024VND,2023VND,2024VND,2023VND,2024VND,2023VND,,,,,,,,
Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,1.846.314.744.882,1.989.966.420.451,5.803.401.147.331,4.994.476.144.730,-,-,7.649.715.892.213,6.984.442.565.181,1846314744882.0,1989966420451.0,5803401147331.0,4994476144730.0,,,7649715892213.0,6984442565181.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,1.015.683.277.294,921.468.177.096,503.753.320,598.658.257,(1.016.187.030.614),(922.066.835.353),-,-,1015683277294.0,921468177096.0,503753320.0,598658257.0,-1016187030614.0,-922066835353.0,,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,2.861.998.022.176,2.911.434.597.547,5.803.904.900.651,4.995.074.802.987,(1.016.187.030.614),(922.066.835.353),7.649.715.892.213,6.984.442.565.181,2861998022176.0,2911434597547.0,5803904900651.0,4995074802987.0,-1016187030614.0,-922066835353.0,7649715892213.0,6984442565181.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,595.386.509.744,35.162.665.702,(427.619.569.506),(259.331.903.237),-,-,167.766.940.238,(224.169.237.535),595386509744.0,35162665702.0,-427619569506.0,-259331903237.0,,,167766940238.0,-224169237535.0
Chi phí tài chính thuần không phân bổPhần lãi trong một công ty liên kết,Chi phí tài chính thuần không phân bổPhần lãi trong một công ty liên kết,Chi phí tài chính thuần không phân bổPhần lãi trong một công ty liên kết,,,,,,,(156.042.998.145)-,(302.311.848.334)1.771.754.842,,,,,,,,
Kết quả từ hoạt động kinh doanh,Chi phí tài chính thuần không phân bổPhần lãi trong một công ty liên kết > Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,,,,,,,11.723.942.093,(524.709.331.027),,,,,,,11723942093.0,-524709331027.0
Thu nhập khác,Chi phí tài chính thuần không phân bổPhần lãi trong một công ty liên kết > Thu nhập khác,Thu nhập khác,,,,,,,18.673.805.889,10.216.223.505,,,,,,,18673805889.0,10216223505.0
Chi phí khác,Chi phí tài chính thuần không phân bổPhần lãi trong một công ty liên kết > Chi phí khác,Chi phí khác,,,,,,,(7.692.161.018),(27.261.323.674),,,,,,,-7692161018.0,-27261323674.0
Thuế thu nhập doanh nghiệp,Chi phí tài chính thuần không phân bổPhần lãi trong một công ty liên kết > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,,,,2.640.869.232,1.900.251.402,,,,,,,2640869232.0,1900251402.0
Lợi nhuận/(Lỗ) thuần sau thuế thu nhập doanh nghiệp,Chi phí tài chính thuần không phân bổPhần lãi trong một công ty liên kết > Lợi nhuận/(Lỗ) thuần sau thuế thu nhập doanh nghiệp,Lợi nhuận/(Lỗ) thuần sau thuế thu nhập doanh nghiệp,,,,,,,25.346.456.196,(539.854.179.794),,,,,,,25346456196.0,-539854179794.0
