row_label_raw,row_label_full,Phải trả cho Khoản Đầu tư MSJ (Thuyết minh 1(d)),31/12/2024VND > -,1/1/2024VND > 315.033.720.000,numeric__31/12/2024VND > -,numeric__1/1/2024VND > 315.033.720.000
Phí ký kết hợp đồng mua hàng hoãn lại,Phí ký kết hợp đồng mua hàng hoãn lại,Phí ký kết hợp đồng mua hàng hoãn lại,130.786.800.000,99.682.600.000,130786800000.0,99682600000.0
Đặt cọc ngắn hạn nhận được,Đặt cọc ngắn hạn nhận được,Đặt cọc ngắn hạn nhận được,4.401.250.000,2.180.000.000,4401250000.0,2180000000.0
Tiền tạm ứng từ nhân viên cho kế hoạch về quyền chọn mua cổ phần cho nhân viên,Tiền tạm ứng từ nhân viên cho kế hoạch về quyền chọn mua cổ phần cho nhân viên,Tiền tạm ứng từ nhân viên cho kế hoạch về quyền chọn mua cổ phần cho nhân viên,809.990.000,5.700.000.000,809990000.0,5700000000.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,700.205.100,733.721.100,700205100.0,733721100.0
Kinh phí công đoàn và bảo hiểm,Kinh phí công đoàn và bảo hiểm,Kinh phí công đoàn và bảo hiểm,292.765.067,942.766.814,292765067.0,942766814.0
Phải trả khác,Phải trả khác,Phải trả khác,3.362.601.161,1.884.902.075,3362601161.0,1884902075.0
,,,140.353.611.328,426.157.709.989,140353611328.0,426157709989.0
