row_label_raw,row_label_full,col_0,Trang trại,Trang trại_1,Thịt và các sản phẩm từ thịt,Thịt và các sản phẩm từ thịt_1,Loại trừ,Loại trừ_1,Hợp nhất,Hợp nhất_1,numeric__Trang trại,numeric__Trang trại_1,numeric__Thịt và các sản phẩm từ thịt,numeric__Thịt và các sản phẩm từ thịt_1,numeric__Loại trừ,numeric__Loại trừ_1,numeric__Hợp nhất,numeric__Hợp nhất_1
,,,31/12/2024VND,1/1/2024VND,31/12/2024VND,1/1/2024VND,31/12/2024VND,1/1/2024VND,31/12/2024VND,1/1/2024VND,,,,,,,,
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,2.446.115.184.862,2.906.116.372.949,4.434.133.045.941,4.571.117.966.715,-,-,6.880.248.230.803,7.477.234.339.664,2446115184862.0,2906116372949.0,4434133045941.0,4571117966715.0,,,6880248230803.0,7477234339664.0
Đầu tư vào một công ty liên kết,Đầu tư vào một công ty liên kết,Đầu tư vào một công ty liên kết,-,-,2.114.054.896.942,2.126.162.912.542,-,-,2.114.054.896.942,2.126.162.912.542,,,2114054896942.0,2126162912542.0,,,2114054896942.0,2126162912542.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,2.234.201.744.955,3.129.399.419.924,,,,,,,2234201744955.0,3129399419924.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,,,11.228.504.872.700,12.732.796.672.130,,,,,,,11228504872700.0,12732796672130.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.283.902.635.291,1.056.443.374.735,3.046.207.514.764,4.469.570.310.546,-,-,4.330.110.150.055,5.526.013.685.281,1283902635291.0,1056443374735.0,3046207514764.0,4469570310546.0,,,4330110150055.0,5526013685281.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,2.429.257.240.353,2.123.145.510.753,,,,,,,2429257240353.0,2123145510753.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,6.759.367.390.408,7.649.159.196.034,,,,,,,6759367390408.0,7649159196034.0
,,,2024VND,2023VND,2024VND,2023VND,2024VND,2023VND,2024VND,2023VND,,,,,,,,
Chi tiêu vốn,Chi tiêu vốn,Chi tiêu vốn,51.864.047.489,64.495.765.555,66.814.031.097,192.789.434.343,-,-,118.678.078.586,257.285.199.898,51864047489.0,64495765555.0,66814031097.0,192789434343.0,,,118678078586.0,257285199898.0
Khấu hao và phân bổ,Khấu hao và phân bổ,Khấu hao và phân bổ,172.363.945.618,173.456.781.943,250.530.048.776,257.609.732.863,-,-,422.893.994.394,431.066.514.806,172363945618.0,173456781943.0,250530048776.0,257609732863.0,,,422893994394.0,431066514806.0
