row_label_raw,row_label_full,col_0,1/1/2024Giá trị ghi sổ/Số có khả năngtrả nợVND,Biến động trong năm > TăngVND,Biến động trong năm > GiảmVND,31/12/2024Giá trị ghi sổ/Số có khả năngtrả nợVND,numeric__1/1/2024Giá trị ghi sổ/Số có khả năngtrả nợVND,numeric__Biến động trong năm > TăngVND,numeric__Biến động trong năm > GiảmVND,numeric__31/12/2024Giá trị ghi sổ/Số có khả năngtrả nợVND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.534.252.950.433,5.800.451.419.429,(6.140.473.417.199),1.194.230.952.663,1534252950433.0,5800451419429.0,-6140473417199.0,1194230952663.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,512.104.141.391,535.308.824.488,(513.432.187.515),533.980.778.364,512104141391.0,535308824488.0,-513432187515.0,533980778364.0
Nợ gốc thuê tài chính đến hạn trả trong vòng 12 tháng,Nợ gốc thuê tài chính đến hạn trả trong vòng 12 tháng,Nợ gốc thuê tài chính đến hạn trả trong vòng 12 tháng,15.632.968.062,15.477.162.340,(18.853.086.568),12.257.043.834,15632968062.0,15477162340.0,-18853086568.0,12257043834.0
,,,2.061.990.059.886,6.351.237.406.257,(6.672.758.691.282),1.740.468.774.861,2061990059886.0,6351237406257.0,-6672758691282.0,1740468774861.0
Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,,,,
,,,Loạitiền,Lãi suấtnăm,31/12/2024VND,1/1/2024VND,,,,
Các khoản vay ngân hàng,Các khoản vay ngân hàng,Các khoản vay ngân hàng,Các khoản vay ngân hàng,Các khoản vay ngân hàng,Các khoản vay ngân hàng,Các khoản vay ngân hàng,,,,
• Các khoản vay ngân hàng có đảm bảo,Các khoản vay ngân hàng > • Các khoản vay ngân hàng có đảm bảo,• Các khoản vay ngân hàng có đảm bảo,VND,"4,0% - 5,8%",-,35.477.720.170,,,,35477720170.0
• Các khoản vay ngân hàng không đảm bảo,Các khoản vay ngân hàng > • Các khoản vay ngân hàng không đảm bảo,• Các khoản vay ngân hàng không đảm bảo,VND,"3,9% - 5,9%",1.194.230.952.663,1.498.775.230.263,,,1194230952663.0,1498775230263.0
,,,,,1.194.230.952.663,1.534.252.950.433,,,1194230952663.0,1534252950433.0
