row_label_raw,row_label_full,"Tại ngày 31 tháng 12 năm 2024, Tập đoàn có 5 công ty con sở hữu trực tiếp, 4 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp (1/1/2024: 5 công ty con sở hữu trực tiếp, 4 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp). Thông tin chỉ tiết của các công ty con và công ty liên kết như sau: > STT","Tại ngày 31 tháng 12 năm 2024, Tập đoàn có 5 công ty con sở hữu trực tiếp, 4 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp (1/1/2024: 5 công ty con sở hữu trực tiếp, 4 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp). Thông tin chỉ tiết của các công ty con và công ty liên kết như sau: > Tên công ty","Tại ngày 31 tháng 12 năm 2024, Tập đoàn có 5 công ty con sở hữu trực tiếp, 4 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp (1/1/2024: 5 công ty con sở hữu trực tiếp, 4 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp). Thông tin chỉ tiết của các công ty con và công ty liên kết như sau: > Hoạt động chính","Tại ngày 31 tháng 12 năm 2024, Tập đoàn có 5 công ty con sở hữu trực tiếp, 4 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp (1/1/2024: 5 công ty con sở hữu trực tiếp, 4 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp). Thông tin chỉ tiết của các công ty con và công ty liên kết như sau: > Trụ sở","Tại ngày 31 tháng 12 năm 2024, Tập đoàn có 5 công ty con sở hữu trực tiếp, 4 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp (1/1/2024: 5 công ty con sở hữu trực tiếp, 4 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp). Thông tin chỉ tiết của các công ty con và công ty liên kết như sau: > Tỷ lệ lợi ích kinh tế/quyền biểu quyết31/12/2024","Tại ngày 31 tháng 12 năm 2024, Tập đoàn có 5 công ty con sở hữu trực tiếp, 4 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp (1/1/2024: 5 công ty con sở hữu trực tiếp, 4 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp). Thông tin chỉ tiết của các công ty con và công ty liên kết như sau: > 1/1/2024","numeric__Tại ngày 31 tháng 12 năm 2024, Tập đoàn có 5 công ty con sở hữu trực tiếp, 4 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp (1/1/2024: 5 công ty con sở hữu trực tiếp, 4 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp). Thông tin chỉ tiết của các công ty con và công ty liên kết như sau: > Tên công ty","numeric__Tại ngày 31 tháng 12 năm 2024, Tập đoàn có 5 công ty con sở hữu trực tiếp, 4 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp (1/1/2024: 5 công ty con sở hữu trực tiếp, 4 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp). Thông tin chỉ tiết của các công ty con và công ty liên kết như sau: > Hoạt động chính","numeric__Tại ngày 31 tháng 12 năm 2024, Tập đoàn có 5 công ty con sở hữu trực tiếp, 4 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp (1/1/2024: 5 công ty con sở hữu trực tiếp, 4 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp). Thông tin chỉ tiết của các công ty con và công ty liên kết như sau: > Trụ sở","numeric__Tại ngày 31 tháng 12 năm 2024, Tập đoàn có 5 công ty con sở hữu trực tiếp, 4 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp (1/1/2024: 5 công ty con sở hữu trực tiếp, 4 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp). Thông tin chỉ tiết của các công ty con và công ty liên kết như sau: > Tỷ lệ lợi ích kinh tế/quyền biểu quyết31/12/2024","numeric__Tại ngày 31 tháng 12 năm 2024, Tập đoàn có 5 công ty con sở hữu trực tiếp, 4 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp (1/1/2024: 5 công ty con sở hữu trực tiếp, 4 công ty con sở hữu gián tiếp và 1 công ty liên kết sở hữu trực tiếp). Thông tin chỉ tiết của các công ty con và công ty liên kết như sau: > 1/1/2024"
Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,,,,,
1,Các công ty con sở hữu trực tiếp > 1,1,Công ty TNHH MNS Meat (“MNS Meat”) (*),"Tư vấn quản lý đầu tư (trừ tư vấn tài chính, kế toán và pháp luật)","(Trong khuôn viên của Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế)Lô A4, Đường số 4, Khu Công nghiệp Sông Mây, Xã Bắc Son, Huyện Tràng Bom, Tỉnh Đồng Nai, Việt Nam","99,99%","99,99%",,,,0.9998999999999999,0.9998999999999999
2,Các công ty con sở hữu trực tiếp > 2,2,Công ty Cổ phần 3F VIỆT (“3F VIỆT”),Chăn nuôi gia cầm,"Lầu 10, Tòa nhà Central Plaza, Số 17 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","51,00%","51,00%",,,,0.51,0.51
3,Các công ty con sở hữu trực tiếp > 3,3,Công ty TNHH MML Farm Nghệ An (“Farm Nghệ An”),Chăn nuôi lợn và sản xuất giống lợn,"Xóm Côn Sơn, Xã Hạ Sơn, Huyện Quỳ Hợp, Tỉnh Nghệ An, Việt Nam","100,00%","100,00%",,,,1.0,1.0
4,Các công ty con sở hữu trực tiếp > 4,4,Công ty TNHH MEAT Deli HN (“Meat Hà Nam”),"Chế biến, bảo quản thịt và các sản phẩm từ thịt","Lô CN-02, Khu Công nghiệp Đồng Văn IV, Phường Đại Cương, Thị xã Kim Bảng, Tỉnh Hà Nam, Việt Nam","100,00%","100,00%",,,,1.0,1.0
5,Các công ty con sở hữu trực tiếp > 5,5,Công ty Cổ phần Masan JinJu (“MSJ”) (***),"Chế biến, bảo quản thịt và các sản phẩm từ thịt","Nhà xưởng F5, Lô 6, Khu Công nghiệp Tân Đông Hiệp A, Phường Tân Đông Hiệp, Thành phố Đĩ An, Tỉnh Bình Dương, Việt Nam","74,99%","74,99%",,,,0.7498999999999999,0.7498999999999999
