row_label_raw,row_label_full,STT,Tên công ty,Hoạt động chính,Trụ sở,Tỷ lệ lợi ích kinh tế/quyền biểu quyết,Tỷ lệ lợi ích kinh tế/quyền biểu quyết_1,numeric__Tên công ty,numeric__Hoạt động chính,numeric__Trụ sở,numeric__Tỷ lệ lợi ích kinh tế/quyền biểu quyết,numeric__Tỷ lệ lợi ích kinh tế/quyền biểu quyết_1
STT,STT,STT,Tên công ty,Hoạt động chính,Trụ sở,31/12/2024,1/1/2024,,,,,
Các công ty con sở hữu gián tiếp,Các công ty con sở hữu gián tiếp,Các công ty con sở hữu gián tiếp,Các công ty con sở hữu gián tiếp,Các công ty con sở hữu gián tiếp,Các công ty con sở hữu gián tiếp,Các công ty con sở hữu gián tiếp,Các công ty con sở hữu gián tiếp,,,,,
1,Các công ty con sở hữu gián tiếp > 1,1,Công ty TNHH MNS Meat Processing (“MNS Meat Processing”),(i) (*),"Tư vấn quản lý đầu tư (trừ tư vấn tài chính, kế toán và pháp luật)","Lầu 10, Tòa nhà Central Plaza, Số 17 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","99,99%",,,,,0.9998999999999999
2,Các công ty con sở hữu gián tiếp > 2,2,Công ty TNHH MNS Farm (“MNS Farm”),(i) (*),"Tư vấn quản lý đầu tư (trừ tư vấn tài chính, kế toán và pháp luật)","Lầu 10, Tòa nhà Central Plaza, Số 17 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","99,99%",,,,,0.9998999999999999
3,Các công ty con sở hữu gián tiếp > 3,3,Công ty TNHH MEATDeli Sài Gòn (“Meat Sài Gòn”),(ii),"Chế biến, bảo quản thịt và các sản phẩm từ thịt","Lô 2, Đường Tân Đức, Khu Công nghiệp Tân Đức, Xã Hựu Thạnh, Huyện Đức Hòa, Tỉnh Long An, Việt Nam","100,00%",,,,,1.0
4,Các công ty con sở hữu gián tiếp > 4,4,Công ty TNHH Thực phẩm 3F VIỆT (“3F VIỆT Food”),(iii),"Chế biến, bảo quản thịt gia cầm và các sản phẩm từ thịt","Thừa đất số 320, Tờ bản đồ số 48, Áp Kiến An, Xã An Lập, Huyện Dầu Tiếng, Tỉnh Bình Dương, Việt Nam","51,00%",,,,,0.51
Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,,,,,
1,Công ty liên kết sở hữu trực tiếp > 1,1,Công ty Cổ phần Việt Nam Kỹ nghệ Súc sản (“Vissan”),(iv),Bán buôn thực phẩm,"420 Nợ Trang Long, Phường 13, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam","24,94%",,,,,0.2494
