row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Gia súc VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Gia súc VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.295.637.996.378,2.234.277.815.034,73.196.624.718,41.385.454.493,9.782.526.194,5.654.280.416.817,3295637996378.0,2234277815034.0,73196624718.0,41385454493.0,9782526194.0,5654280416817.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.912.629.000,57.628.213,191.100.000,3.157.191.656,-,5.318.548.869,1912629000.0,57628213.0,191100000.0,3157191656.0,,5318548869.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,1.395.460.620,93.350.765.055,1.424.423.807,-,9.922.989.514,106.093.638.996,1395460620.0,93350765055.0,1424423807.0,,9922989514.0,106093638996.0
Phân loại sang chi phí trả trước dài hạn,Nguyên giá > Phân loại sang chi phí trả trước dài hạn,Phân loại sang chi phí trả trước dài hạn,-,(180.108.502),-,-,-,(180.108.502),,-180108502.0,,,,-180108502.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(348.287.451),(75.039.998.961),(238.181.818),(83.528.921),(559.743.125),(76.269.740.276),-348287451.0,-75039998961.0,-238181818.0,-83528921.0,-559743125.0,-76269740276.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.298.597.798.547,2.252.466.100.839,74.573.966.707,44.459.117.228,19.145.772.583,5.689.242.755.904,3298597798547.0,2252466100839.0,74573966707.0,44459117228.0,19145772583.0,5689242755904.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,507.251.076.997,502.919.604.397,30.079.191.026,25.750.750.805,2.076.234.211,1.068.076.857.436,507251076997.0,502919604397.0,30079191026.0,25750750805.0,2076234211.0,1068076857436.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,135.720.896.955,188.230.099.905,7.064.663.778,7.365.756.001,3.477.295.175,341.858.711.814,135720896955.0,188230099905.0,7064663778.0,7365756001.0,3477295175.0,341858711814.0
Phân loại sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Phân loại sang chi phí trả trước dài hạn,Phân loại sang chi phí trả trước dài hạn,-,(54.675.792),-,-,-,(54.675.792),,-54675792.0,,,,-54675792.0
Thanh lý và xóa số,Giá trị hao mòn lũy kế > Thanh lý và xóa số,Thanh lý và xóa số,(92.388.527),(31.967.776.912),(102.550.505),(21.149.352),(83.955.793),(32.267.821.089),-92388527.0,-31967776912.0,-102550505.0,-21149352.0,-83955793.0,-32267821089.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,642.879.585.425,659.127.251.598,37.041.304.299,33.095.357.454,5.469.573.593,1.377.613.072.369,642879585425.0,659127251598.0,37041304299.0,33095357454.0,5469573593.0,1377613072369.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.788.386.919.381,1.731.358.210.637,43.117.433.692,15.634.703.688,7.706.291.983,4.586.203.559.381,2788386919381.0,1731358210637.0,43117433692.0,15634703688.0,7706291983.0,4586203559381.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.655.718.213.122,1.593.338.849.241,37.532.662.408,11.363.759.774,13.676.198.990,4.311.629.683.535,2655718213122.0,1593338849241.0,37532662408.0,11363759774.0,13676198990.0,4311629683535.0
