row_label_raw,row_label_full,col_0,"Máy móc,thiết bị","Phương tiện vântài, truyền dẫn",TSCĐ dùngtrong quản lý,Cộng,"numeric__Máy móc,thiết bị","numeric__Phương tiện vântài, truyền dẫn",numeric__TSCĐ dùngtrong quản lý,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu kỳ,Nguyên giá > Số dư đầu kỳ,Số dư đầu kỳ,1.309.784.122,12.851.615.329,466.216.798,14.627.616.249,1309784122.0,12851615329.0,466216798.0,14627616249.0
Số dư cuối kỳ,Nguyên giá > Số dư cuối kỳ,Số dư cuối kỳ,1.309.784.122,12.851.615.329,466.216.798,14.627.616.249,1309784122.0,12851615329.0,466216798.0,14627616249.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu kỳ,Giá trị hao mòn lũy kế > Số dư đầu kỳ,Số dư đầu kỳ,1.280.637.274,5.227.108.133,457.355.508,6.965.100.915,1280637274.0,5227108133.0,457355508.0,6965100915.0
- Khấu hao trong kỳ,Giá trị hao mòn lũy kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,29.146.848,1.498.993.482,8.861.290,1.537.001.620,29146848.0,1498993482.0,8861290.0,1537001620.0
Số dư cuối kỳ,Giá trị hao mòn lũy kế > Số dư cuối kỳ,Số dư cuối kỳ,1.309.784.122,6.726.101.615,466.216.798,8.502.102.535,1309784122.0,6726101615.0,466216798.0,8502102535.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu kỳ,Giá trị còn lại > Tại ngày đầu kỳ,Tại ngày đầu kỳ,29.146.848,7.624.507.196,8.861.290,7.662.515.334,29146848.0,7624507196.0,8861290.0,7662515334.0
Tại ngày cuối kỳ,Giá trị còn lại > Tại ngày cuối kỳ,Tại ngày cuối kỳ,-,6.125.513.714,-,6.125.513.714,,6125513714.0,,6125513714.0
