row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Nội dung nghiệp vụ,numeric__Năm nay VND,numeric__Năm trước VND
Công ty Cổ phần Năng lượng Solwind,Công ty Cổ phần Năng lượng Solwind,Công ty Cổ phần Năng lượng Solwind,Góp vốn,49.990.000.000,-,,49990000000.0,
Công ty Cổ phần Năng lượng Solwind,Công ty Cổ phần Năng lượng Solwind,Công ty Cổ phần Năng lượng Solwind,Đi vay,20.000.000.000,-,,20000000000.0,
Công ty Cổ phần Năng lượng Solwind,Công ty Cổ phần Năng lượng Solwind,Công ty Cổ phần Năng lượng Solwind,Chi trả nợ gốc vay,20.000.000.000,-,,20000000000.0,
Công ty Cổ phần Năng lượng Solwind,Công ty Cổ phần Năng lượng Solwind,Công ty Cổ phần Năng lượng Solwind,Chi phí lãi vay,184.109.589,-,,184109589.0,
Công ty Cổ phần Năng lượng Tái tạo Mới số 1,Công ty Cổ phần Năng lượng Tái tạo Mới số 1,Công ty Cổ phần Năng lượng Tái tạo Mới số 1,Đi vay,294.503.000.000,-,,294503000000.0,
Công ty Cổ phần Năng lượng Tái tạo Mới số 1,Công ty Cổ phần Năng lượng Tái tạo Mới số 1,Công ty Cổ phần Năng lượng Tái tạo Mới số 1,Chi trả nợ gốc vay,334.503.000.000,-,,334503000000.0,
Công ty Cổ phần Năng lượng Tái tạo Mới số 1,Công ty Cổ phần Năng lượng Tái tạo Mới số 1,Công ty Cổ phần Năng lượng Tái tạo Mới số 1,Chi phí lãi vay,18.987.234.851,-,,18987234851.0,
Công ty Cổ phần Năng lượng Tái tạo Mới số 1,Công ty Cổ phần Năng lượng Tái tạo Mới số 1,Công ty Cổ phần Năng lượng Tái tạo Mới số 1,Nhận góp vốn,112.500.000.000,-,,112500000000.0,
Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,Doanh thu bán hàng và cung cấp dịch vụ,1.331.468.800,-,,1331468800.0,
Công ty Cổ phần Hàng tiêu dùng Biên Hòa,Công ty Cổ phần Hàng tiêu dùng Biên Hòa,Công ty Cổ phần Hàng tiêu dùng Biên Hòa,Mua hàng hóa và dịch vụ,51.878.400,-,,51878400.0,
