row_label_raw,row_label_full,Mãsô,col_1,Thuyếtminh,Năm nayVND,Năm trướcVND,numeric__col_1,numeric__Thuyếtminh,numeric__Năm nayVND,numeric__Năm trướcVND
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,2.163.456.147.696,2.093.232.835.402,,,2163456147696.0,2093232835402.0
10,10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),26,2.163.456.147.696,2.093.232.835.402,,26.0,2163456147696.0,2093232835402.0
11,11,11,Giá vốn hàng bán và dịch vụ cung cấp,27,1.042.528.569.954,1.081.833.401.633,,27.0,1042528569954.0,1081833401633.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10 - 11),Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10 - 11),1.120.927.577.742,1.011.399.433.769,,,1120927577742.0,1011399433769.0
21,21,21,Doanh thu hoạt động tài chính,28,100.599.754.753,213.920.427.160,,28.0,100599754753.0,213920427160.0
22,22,22,Chi phí tài chính,29,870.734.223.835,657.088.144.981,,29.0,870734223835.0,657088144981.0
23,23,23,- Trong đó: Chi phí lãi vay,29,841.733.441.926,591.825.481.199,,29.0,841733441926.0,591825481199.0
24,24,24,Phần lãi trong công ty liên kết,5(b),5.210.379.437,12.827.967.263,,,5210379437.0,12827967263.0
25,25,25,Chi phí bán hàng,,985.267.357,379.174.918,,,985267357.0,379174918.0
26,26,26,Chi phí quản lý doanh nghiệp,30,158.479.036.896,160.341.431.872,,30.0,158479036896.0,160341431872.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh(30 = 20 + 21 - 22 + 24 - 25 - 26),Lợi nhuận thuần từ hoạt động kinh doanh(30 = 20 + 21 - 22 + 24 - 25 - 26),196.539.183.844,420.339.076.421,,,196539183844.0,420339076421.0
31,31,31,Thu nhập khác,,5.140.742.377,597.421.797,,,5140742377.0,597421797.0
32,32,32,Chi phí khác,,6.666.182.497,14.170.122.935,,,6666182497.0,14170122935.0
40,40,40,Lỗ khác (40 = 31 - 32),31,(1.525.440.120),(13.572.701.138),,31.0,-1525440120.0,-13572701138.0
50,50,50,Tổng lợi nhuận kê toán trước thuế(50 = 30 + 40),Tổng lợi nhuận kê toán trước thuế(50 = 30 + 40),195.013.743.724,406.766.375.283,,,195013743724.0,406766375283.0
51,51,51,"Chi phí thuê thu nhập doanh nghiệp(""TNDN"") hiện hành",32,46.864.367.463,41.127.952.128,,32.0,46864367463.0,41127952128.0
52,52,52,Thu nhập thuê TNDN hoãn lại,32,4.825.429.149,(4.941.157.006),,32.0,4825429149.0,-4941157006.0
60,60,60,Lợi nhuận sau thuê TNDN (60 = 50 - 51 - 52),Lợi nhuận sau thuê TNDN (60 = 50 - 51 - 52),143.323.947.112,370.579.580.161,,,143323947112.0,370579580161.0
,,,Phân bố cho:,Phân bố cho:,,,,,,
61,61,61,Lợi nhuận sau thuê của công ty mẹ,,137.243.674.272,315.693.407.917,,,137243674272.0,315693407917.0
62,62,62,Lợi nhuận sau thuê của cổ đông không kiểm soát,,6.080.272.840,54.886.172.244,,,6080272840.0,54886172244.0
