row_label_raw,row_label_full,Trả trước cho người bán ngắn hạn (Thuyết minh 7),Số cuối năm VND > Trả trước cho người bán ngắn hạn (Thuyết minh 7),Số đầu năm VND > Trả trước cho người bán ngắn hạn (Thuyết minh 7),numeric__Số cuối năm VND > Trả trước cho người bán ngắn hạn (Thuyết minh 7),numeric__Số đầu năm VND > Trả trước cho người bán ngắn hạn (Thuyết minh 7)
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,-,47.000.000.000,,47000000000.0
Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,764.356.515,-,764356515.0,
,,,764.356.515,47.000.000.000,764356515.0,47000000000.0
Phải thu về cho vay ngắn hạn (Thuyết minh 8(a)),Phải thu về cho vay ngắn hạn (Thuyết minh 8(a)),Phải thu về cho vay ngắn hạn (Thuyết minh 8(a)),Phải thu về cho vay ngắn hạn (Thuyết minh 8(a)),Phải thu về cho vay ngắn hạn (Thuyết minh 8(a)),,
Công ty Cổ phần Thủy điện Trường Phú,Phải thu về cho vay ngắn hạn (Thuyết minh 8(a)) > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,180.900.000.000,175.727.376.270,180900000000.0,175727376270.0
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Phải thu về cho vay ngắn hạn (Thuyết minh 8(a)) > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,44.420.000.000,76.420.000.000,44420000000.0,76420000000.0
Công ty Cổ phần Năng lượng sạch Ninh Thuận,Phải thu về cho vay ngắn hạn (Thuyết minh 8(a)) > Công ty Cổ phần Năng lượng sạch Ninh Thuận,Công ty Cổ phần Năng lượng sạch Ninh Thuận,4.000.000.000,4.000.000.000,4000000000.0,4000000000.0
,,,229.320.000.000,256.147.376.270,229320000000.0,256147376270.0
Phải thu về cho vay dài hạn (Thuyết minh (8b)),Phải thu về cho vay dài hạn (Thuyết minh (8b)),Phải thu về cho vay dài hạn (Thuyết minh (8b)),Phải thu về cho vay dài hạn (Thuyết minh (8b)),Phải thu về cho vay dài hạn (Thuyết minh (8b)),,
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Phải thu về cho vay dài hạn (Thuyết minh (8b)) > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,20.000.000.000,-,20000000000.0,
Phải thu ngắn hạn khác (Thuyết minh 9(a)),Phải thu ngắn hạn khác (Thuyết minh 9(a)),Phải thu ngắn hạn khác (Thuyết minh 9(a)),Phải thu ngắn hạn khác (Thuyết minh 9(a)),Phải thu ngắn hạn khác (Thuyết minh 9(a)),,
Công ty Cổ phần Thủy điện Trường Phú,Phải thu ngắn hạn khác (Thuyết minh 9(a)) > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,5.308.506.385,2.375.721.518,5308506385.0,2375721518.0
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Phải thu ngắn hạn khác (Thuyết minh 9(a)) > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,9.212.928.773,2.009.558.910,9212928773.0,2009558910.0
Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Phải thu ngắn hạn khác (Thuyết minh 9(a)) > Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,1.584.904.114,1.224.904.110,1584904114.0,1224904110.0
Công ty Cổ phần Khai thác và Quản lý Khu Công nghiệp Đăng Huỳnh,Phải thu ngắn hạn khác (Thuyết minh 9(a)) > Công ty Cổ phần Khai thác và Quản lý Khu Công nghiệp Đăng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu Công nghiệp Đăng Huỳnh,-,119.720.662,,119720662.0
Công ty Cổ phần Năng lượng TTC,Phải thu ngắn hạn khác (Thuyết minh 9(a)) > Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,-,1.000.000,,1000000.0
,,,16.106.339.272,5.730.905.200,16106339272.0,5730905200.0
Phải thu dài hạn khác (Thuyết minh 9(b)),Phải thu dài hạn khác (Thuyết minh 9(b)),Phải thu dài hạn khác (Thuyết minh 9(b)),Phải thu dài hạn khác (Thuyết minh 9(b)),Phải thu dài hạn khác (Thuyết minh 9(b)),,
Công ty Cổ phần Thành Thành Nam,Phải thu dài hạn khác (Thuyết minh 9(b)) > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,498.204.382,498.204.382,498204382.0,498204382.0
