row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị/Số có khả năng trả nợ VND,Số cuối năm > Số đầu nămGiá trị/Số có khả năng trả nợ VND,numeric__Số cuối năm > Giá trị/Số có khả năng trả nợ VND,numeric__Số cuối năm > Số đầu nămGiá trị/Số có khả năng trả nợ VND
Công ty Cổ phần Tập đoàn PC1,Công ty Cổ phần Tập đoàn PC1,Công ty Cổ phần Tập đoàn PC1,50.000.000.000,631.696.768.714,50000000000.0,631696768714.0
Công ty TNHH Vestas Wind Technology Việt Nam,Công ty TNHH Vestas Wind Technology Việt Nam,Công ty TNHH Vestas Wind Technology Việt Nam,12.999.402.732,12.580.179.350,12999402732.0,12580179350.0
"China Power Construction Engineering Consulting Co., Ltd.","China Power Construction Engineering Consulting Co., Ltd.","China Power Construction Engineering Consulting Co., Ltd.",-,443.538.298.666,,443538298666.0
Vestas Asia Pacific A/S,Vestas Asia Pacific A/S,Vestas Asia Pacific A/S,-,113.105.292.500,,113105292500.0
