row_label_raw,row_label_full,col_0,col_1,Tại ngày đầu năm VND,Số phải nộp/phát sinh trong năm VND,Số thực nộp/được hoàn trong năm VND,Cán trừ/phân loại lại trong năm VND,Khác VND,Tại ngày cuối năm VND,numeric__col_1,numeric__Tại ngày đầu năm VND,numeric__Số phải nộp/phát sinh trong năm VND,numeric__Số thực nộp/được hoàn trong năm VND,numeric__Cán trừ/phân loại lại trong năm VND,numeric__Khác VND,numeric__Tại ngày cuối năm VND
(a),(a),(a),Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,,,
(a),(a) > (a),(a),Thuế GTGT được khấu trừ,378.359.473.622,55.180.416.998,(335.613.675.681),(69.137.587.193),-,28.788.627.746,,378359473622.0,55180416998.0,-335613675681.0,-69137587193.0,,28788627746.0
(a),(a) > (a),(a),Thuế TNDN,827.635.177,-,-,(756.589.586),-,71.045.591,,827635177.0,,,-756589586.0,,71045591.0
(a),(a) > (a),(a),Thuế thu nhập cá nhân,853.665,199.901.057,(853.665),(199.901.057),-,-,,853665.0,199901057.0,-853665.0,-199901057.0,,
(a),(a) > (a),(a),Các loại thuế và phí khác,-,393.200.385,-,136.889.936,-,530.090.321,,,393200385.0,,136889936.0,,530090321.0
(a),(a) > (a),(a),,379.187.962.464,55.773.518.440,(335.614.529.346),(69.957.187.900),-,29.389.763.658,,379187962464.0,55773518440.0,-335614529346.0,-69957187900.0,,29389763658.0
(b),(b),(b),Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,,,
(b),(b) > (b),(b),Thuế GTGT,23.068.603.761,205.314.244.587,(145.932.685.595),(69.137.587.193),-,13.312.575.560,,23068603761.0,205314244587.0,-145932685595.0,-69137587193.0,,13312575560.0
(b),(b) > (b),(b),Thuế TNDN,7.623.247.688,46.864.367.463,(17.837.233.836),(756.589.586),42.533.379,35.936.325.108,,7623247688.0,46864367463.0,-17837233836.0,-756589586.0,42533379.0,35936325108.0
(b),(b) > (b),(b),Thuế tài nguyên,10.655.615.411,34.210.374.465,(39.131.584.121),-,-,5.734.405.755,,10655615411.0,34210374465.0,-39131584121.0,,,5734405755.0
(b),(b) > (b),(b),Thuế thu nhập cá nhân,2.775.965.326,10.147.291.267,(10.281.620.423),(199.901.057),-,2.441.735.113,,2775965326.0,10147291267.0,-10281620423.0,-199901057.0,,2441735113.0
(b),(b) > (b),(b),Các loại thuế và phí khác,3.069.084.677,7.273.816.208,(9.724.240.069),136.889.936,-,755.550.752,,3069084677.0,7273816208.0,-9724240069.0,136889936.0,,755550752.0
(b),(b) > (b),(b),,47.192.516.863,303.810.093.990,(222.907.364.044),(69.957.187.900),42.533.379,58.180.592.288,,47192516863.0,303810093990.0,-222907364044.0,-69957187900.0,42533379.0,58180592288.0
