row_label_raw,row_label_full,col_0,col_1,"Nơi thành lập, đăng ký hoạt động",Lĩnh vực kinh doanh,Tỷ lệ sở hữu theo vốn điều lệ (%),Tỷ lệ sở hữu theo vốn điều lệ (%)_1,Tỷ lệ quyền biểu quyết (%),Tỷ lệ quyền biểu quyết (%)_1,numeric__col_1,"numeric__Nơi thành lập, đăng ký hoạt động",numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ sở hữu theo vốn điều lệ (%),numeric__Tỷ lệ sở hữu theo vốn điều lệ (%)_1,numeric__Tỷ lệ quyền biểu quyết (%),numeric__Tỷ lệ quyền biểu quyết (%)_1
,,,,"Nơi thành lập, đăng ký hoạt động",Lĩnh vực kinh doanh,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,,,,,,,
b),b),b),Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,,,,,,,
1.,b) > 1.,1.,Công ty Cổ phần Điện gió Lavi (vi),Thành phố Hồ Chí Minh,"Sản xuất, truyền tải và phân phối điện","94,38","96,17","99,99","99,99",,,,94.38,96.17,99.99,99.99
2.,b) > 2.,2.,Công ty Cổ phần Năng lượng điện Cao Nguyên (vii),Tỉnh Đắk Lắk,"Sản xuất, truyền tải và phân phối điện","99,00",-,"99,99",-,,,,99.0,,99.99,
c),c),c),Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,
1.,c) > 1.,1.,Công ty Cổ phần Thủy điện Trường Phú,Tỉnh Thừa Thiên Huế,"Sản xuất, truyền tải và phân phối điện","25,09","25,09","25,09","25,09",,,,25.09,25.09,25.09,25.09
2.,c) > 2.,2.,Công ty Cổ phần Năng lượng Solwind (viii),Thành phố Hồ Chí Minh,Hoạt động tư vấn và quản lý điện có liên quan,"49,99",-,"49,99",-,,,,49.99,,49.99,
(i),(i),(i),"Trong năm, Công ty Cổ phần Điện TTC Đức Huệ - Long An (""DH"") đã hoàn tất phát hành thêm 18.288 cổ phần với giá trị là 182.880.000 đồng cho cổ đông thiểu số. Theo đó, tỷ lệ sở hữu của Tập đoàn tại DH thay đổi từ 99,94% thành 99,92%.","Trong năm, Công ty Cổ phần Điện TTC Đức Huệ - Long An (""DH"") đã hoàn tất phát hành thêm 18.288 cổ phần với giá trị là 182.880.000 đồng cho cổ đông thiểu số. Theo đó, tỷ lệ sở hữu của Tập đoàn tại DH thay đổi từ 99,94% thành 99,92%.","Trong năm, Công ty Cổ phần Điện TTC Đức Huệ - Long An (""DH"") đã hoàn tất phát hành thêm 18.288 cổ phần với giá trị là 182.880.000 đồng cho cổ đông thiểu số. Theo đó, tỷ lệ sở hữu của Tập đoàn tại DH thay đổi từ 99,94% thành 99,92%.","Trong năm, Công ty Cổ phần Điện TTC Đức Huệ - Long An (""DH"") đã hoàn tất phát hành thêm 18.288 cổ phần với giá trị là 182.880.000 đồng cho cổ đông thiểu số. Theo đó, tỷ lệ sở hữu của Tập đoàn tại DH thay đổi từ 99,94% thành 99,92%.","Trong năm, Công ty Cổ phần Điện TTC Đức Huệ - Long An (""DH"") đã hoàn tất phát hành thêm 18.288 cổ phần với giá trị là 182.880.000 đồng cho cổ đông thiểu số. Theo đó, tỷ lệ sở hữu của Tập đoàn tại DH thay đổi từ 99,94% thành 99,92%.","Trong năm, Công ty Cổ phần Điện TTC Đức Huệ - Long An (""DH"") đã hoàn tất phát hành thêm 18.288 cổ phần với giá trị là 182.880.000 đồng cho cổ đông thiểu số. Theo đó, tỷ lệ sở hữu của Tập đoàn tại DH thay đổi từ 99,94% thành 99,92%.","Trong năm, Công ty Cổ phần Điện TTC Đức Huệ - Long An (""DH"") đã hoàn tất phát hành thêm 18.288 cổ phần với giá trị là 182.880.000 đồng cho cổ đông thiểu số. Theo đó, tỷ lệ sở hữu của Tập đoàn tại DH thay đổi từ 99,94% thành 99,92%.",,,,,,,
(ii),(ii),(ii),"Trong năm, Công ty Cổ phần Năng lượng Điện gió Tiền Giang (""TGE"") đã hoàn tất phát hành thêm 25 triệu cổ phần với giá trị là 250 tỷ đồng cho Công ty Cổ phần Năng lượng Tái tạo mới số 1 và Tập đoàn. Theo đó, tỷ lệ sở hữu của Tập đoàn tại TGE thay đổi từ 54,92% thành 54,93%.","Trong năm, Công ty Cổ phần Năng lượng Điện gió Tiền Giang (""TGE"") đã hoàn tất phát hành thêm 25 triệu cổ phần với giá trị là 250 tỷ đồng cho Công ty Cổ phần Năng lượng Tái tạo mới số 1 và Tập đoàn. Theo đó, tỷ lệ sở hữu của Tập đoàn tại TGE thay đổi từ 54,92% thành 54,93%.","Trong năm, Công ty Cổ phần Năng lượng Điện gió Tiền Giang (""TGE"") đã hoàn tất phát hành thêm 25 triệu cổ phần với giá trị là 250 tỷ đồng cho Công ty Cổ phần Năng lượng Tái tạo mới số 1 và Tập đoàn. Theo đó, tỷ lệ sở hữu của Tập đoàn tại TGE thay đổi từ 54,92% thành 54,93%.","Trong năm, Công ty Cổ phần Năng lượng Điện gió Tiền Giang (""TGE"") đã hoàn tất phát hành thêm 25 triệu cổ phần với giá trị là 250 tỷ đồng cho Công ty Cổ phần Năng lượng Tái tạo mới số 1 và Tập đoàn. Theo đó, tỷ lệ sở hữu của Tập đoàn tại TGE thay đổi từ 54,92% thành 54,93%.","Trong năm, Công ty Cổ phần Năng lượng Điện gió Tiền Giang (""TGE"") đã hoàn tất phát hành thêm 25 triệu cổ phần với giá trị là 250 tỷ đồng cho Công ty Cổ phần Năng lượng Tái tạo mới số 1 và Tập đoàn. Theo đó, tỷ lệ sở hữu của Tập đoàn tại TGE thay đổi từ 54,92% thành 54,93%.","Trong năm, Công ty Cổ phần Năng lượng Điện gió Tiền Giang (""TGE"") đã hoàn tất phát hành thêm 25 triệu cổ phần với giá trị là 250 tỷ đồng cho Công ty Cổ phần Năng lượng Tái tạo mới số 1 và Tập đoàn. Theo đó, tỷ lệ sở hữu của Tập đoàn tại TGE thay đổi từ 54,92% thành 54,93%.","Trong năm, Công ty Cổ phần Năng lượng Điện gió Tiền Giang (""TGE"") đã hoàn tất phát hành thêm 25 triệu cổ phần với giá trị là 250 tỷ đồng cho Công ty Cổ phần Năng lượng Tái tạo mới số 1 và Tập đoàn. Theo đó, tỷ lệ sở hữu của Tập đoàn tại TGE thay đổi từ 54,92% thành 54,93%.",,,,,,,
(iii),(iii),(iii),"Trong năm, Công ty Cổ phần Năng lượng VPL (""VPL"") đã hoàn tất phát hành thêm 10 triệu cổ phần với giá trị là 100 tỷ đồng cho Công ty Cổ phần Thủy điện Gia Lai (""GHC""). Do Tập đoàn không nằm giữ hoàn toàn vốn chủ sở hữu tại GHC, việc VPL phát hành thêm cổ phần cho GHC khiến tỷ lệ sở hữu của Tập đoàn tại VPL thay đổi từ 92,39% thành 88,84%. Ảnh hưởng của thay đổi tỷ lệ sở hữu làm tăng lợi nhuận sau thuế chưa phân phối và làm giảm lợi ích của cổ đông không kiểm soát là 9,8 tỷ đồng (Thuyết minh 22).","Trong năm, Công ty Cổ phần Năng lượng VPL (""VPL"") đã hoàn tất phát hành thêm 10 triệu cổ phần với giá trị là 100 tỷ đồng cho Công ty Cổ phần Thủy điện Gia Lai (""GHC""). Do Tập đoàn không nằm giữ hoàn toàn vốn chủ sở hữu tại GHC, việc VPL phát hành thêm cổ phần cho GHC khiến tỷ lệ sở hữu của Tập đoàn tại VPL thay đổi từ 92,39% thành 88,84%. Ảnh hưởng của thay đổi tỷ lệ sở hữu làm tăng lợi nhuận sau thuế chưa phân phối và làm giảm lợi ích của cổ đông không kiểm soát là 9,8 tỷ đồng (Thuyết minh 22).","Trong năm, Công ty Cổ phần Năng lượng VPL (""VPL"") đã hoàn tất phát hành thêm 10 triệu cổ phần với giá trị là 100 tỷ đồng cho Công ty Cổ phần Thủy điện Gia Lai (""GHC""). Do Tập đoàn không nằm giữ hoàn toàn vốn chủ sở hữu tại GHC, việc VPL phát hành thêm cổ phần cho GHC khiến tỷ lệ sở hữu của Tập đoàn tại VPL thay đổi từ 92,39% thành 88,84%. Ảnh hưởng của thay đổi tỷ lệ sở hữu làm tăng lợi nhuận sau thuế chưa phân phối và làm giảm lợi ích của cổ đông không kiểm soát là 9,8 tỷ đồng (Thuyết minh 22).","Trong năm, Công ty Cổ phần Năng lượng VPL (""VPL"") đã hoàn tất phát hành thêm 10 triệu cổ phần với giá trị là 100 tỷ đồng cho Công ty Cổ phần Thủy điện Gia Lai (""GHC""). Do Tập đoàn không nằm giữ hoàn toàn vốn chủ sở hữu tại GHC, việc VPL phát hành thêm cổ phần cho GHC khiến tỷ lệ sở hữu của Tập đoàn tại VPL thay đổi từ 92,39% thành 88,84%. Ảnh hưởng của thay đổi tỷ lệ sở hữu làm tăng lợi nhuận sau thuế chưa phân phối và làm giảm lợi ích của cổ đông không kiểm soát là 9,8 tỷ đồng (Thuyết minh 22).","Trong năm, Công ty Cổ phần Năng lượng VPL (""VPL"") đã hoàn tất phát hành thêm 10 triệu cổ phần với giá trị là 100 tỷ đồng cho Công ty Cổ phần Thủy điện Gia Lai (""GHC""). Do Tập đoàn không nằm giữ hoàn toàn vốn chủ sở hữu tại GHC, việc VPL phát hành thêm cổ phần cho GHC khiến tỷ lệ sở hữu của Tập đoàn tại VPL thay đổi từ 92,39% thành 88,84%. Ảnh hưởng của thay đổi tỷ lệ sở hữu làm tăng lợi nhuận sau thuế chưa phân phối và làm giảm lợi ích của cổ đông không kiểm soát là 9,8 tỷ đồng (Thuyết minh 22).","Trong năm, Công ty Cổ phần Năng lượng VPL (""VPL"") đã hoàn tất phát hành thêm 10 triệu cổ phần với giá trị là 100 tỷ đồng cho Công ty Cổ phần Thủy điện Gia Lai (""GHC""). Do Tập đoàn không nằm giữ hoàn toàn vốn chủ sở hữu tại GHC, việc VPL phát hành thêm cổ phần cho GHC khiến tỷ lệ sở hữu của Tập đoàn tại VPL thay đổi từ 92,39% thành 88,84%. Ảnh hưởng của thay đổi tỷ lệ sở hữu làm tăng lợi nhuận sau thuế chưa phân phối và làm giảm lợi ích của cổ đông không kiểm soát là 9,8 tỷ đồng (Thuyết minh 22).","Trong năm, Công ty Cổ phần Năng lượng VPL (""VPL"") đã hoàn tất phát hành thêm 10 triệu cổ phần với giá trị là 100 tỷ đồng cho Công ty Cổ phần Thủy điện Gia Lai (""GHC""). Do Tập đoàn không nằm giữ hoàn toàn vốn chủ sở hữu tại GHC, việc VPL phát hành thêm cổ phần cho GHC khiến tỷ lệ sở hữu của Tập đoàn tại VPL thay đổi từ 92,39% thành 88,84%. Ảnh hưởng của thay đổi tỷ lệ sở hữu làm tăng lợi nhuận sau thuế chưa phân phối và làm giảm lợi ích của cổ đông không kiểm soát là 9,8 tỷ đồng (Thuyết minh 22).",,,,,,,
(iv),(iv),(iv),"Theo Quyết định của Chủ tịch Hội đồng Quản trị số 36A/2022/TYQĐ-CT.HĐQT ngày 16 tháng 12 năm 2022, Chủ tịch Hội đồng Quản trị đã phê duyệt kế hoạch giải thể Công ty TNHH MTV Xây lắp và Cơ điện Gia Lai. Trong năm, căn cứ theo Thông báo ngày 17 tháng 4 năm 2023 của Sở Kế hoạch và Đầu tư Tĩnh Gia Lai, Công ty TNHH MTV Xây lắp và Cơ điện Gia Lai đã hoàn tất thủ tục giải thể.","Theo Quyết định của Chủ tịch Hội đồng Quản trị số 36A/2022/TYQĐ-CT.HĐQT ngày 16 tháng 12 năm 2022, Chủ tịch Hội đồng Quản trị đã phê duyệt kế hoạch giải thể Công ty TNHH MTV Xây lắp và Cơ điện Gia Lai. Trong năm, căn cứ theo Thông báo ngày 17 tháng 4 năm 2023 của Sở Kế hoạch và Đầu tư Tĩnh Gia Lai, Công ty TNHH MTV Xây lắp và Cơ điện Gia Lai đã hoàn tất thủ tục giải thể.","Theo Quyết định của Chủ tịch Hội đồng Quản trị số 36A/2022/TYQĐ-CT.HĐQT ngày 16 tháng 12 năm 2022, Chủ tịch Hội đồng Quản trị đã phê duyệt kế hoạch giải thể Công ty TNHH MTV Xây lắp và Cơ điện Gia Lai. Trong năm, căn cứ theo Thông báo ngày 17 tháng 4 năm 2023 của Sở Kế hoạch và Đầu tư Tĩnh Gia Lai, Công ty TNHH MTV Xây lắp và Cơ điện Gia Lai đã hoàn tất thủ tục giải thể.","Theo Quyết định của Chủ tịch Hội đồng Quản trị số 36A/2022/TYQĐ-CT.HĐQT ngày 16 tháng 12 năm 2022, Chủ tịch Hội đồng Quản trị đã phê duyệt kế hoạch giải thể Công ty TNHH MTV Xây lắp và Cơ điện Gia Lai. Trong năm, căn cứ theo Thông báo ngày 17 tháng 4 năm 2023 của Sở Kế hoạch và Đầu tư Tĩnh Gia Lai, Công ty TNHH MTV Xây lắp và Cơ điện Gia Lai đã hoàn tất thủ tục giải thể.","Theo Quyết định của Chủ tịch Hội đồng Quản trị số 36A/2022/TYQĐ-CT.HĐQT ngày 16 tháng 12 năm 2022, Chủ tịch Hội đồng Quản trị đã phê duyệt kế hoạch giải thể Công ty TNHH MTV Xây lắp và Cơ điện Gia Lai. Trong năm, căn cứ theo Thông báo ngày 17 tháng 4 năm 2023 của Sở Kế hoạch và Đầu tư Tĩnh Gia Lai, Công ty TNHH MTV Xây lắp và Cơ điện Gia Lai đã hoàn tất thủ tục giải thể.","Theo Quyết định của Chủ tịch Hội đồng Quản trị số 36A/2022/TYQĐ-CT.HĐQT ngày 16 tháng 12 năm 2022, Chủ tịch Hội đồng Quản trị đã phê duyệt kế hoạch giải thể Công ty TNHH MTV Xây lắp và Cơ điện Gia Lai. Trong năm, căn cứ theo Thông báo ngày 17 tháng 4 năm 2023 của Sở Kế hoạch và Đầu tư Tĩnh Gia Lai, Công ty TNHH MTV Xây lắp và Cơ điện Gia Lai đã hoàn tất thủ tục giải thể.","Theo Quyết định của Chủ tịch Hội đồng Quản trị số 36A/2022/TYQĐ-CT.HĐQT ngày 16 tháng 12 năm 2022, Chủ tịch Hội đồng Quản trị đã phê duyệt kế hoạch giải thể Công ty TNHH MTV Xây lắp và Cơ điện Gia Lai. Trong năm, căn cứ theo Thông báo ngày 17 tháng 4 năm 2023 của Sở Kế hoạch và Đầu tư Tĩnh Gia Lai, Công ty TNHH MTV Xây lắp và Cơ điện Gia Lai đã hoàn tất thủ tục giải thể.",,,,,,,
