row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị/Số có khả năng trả nợ VND,Số cuối năm > Số đầu nămGiá trị/Số có khả năng trả nợ VND,numeric__Số cuối năm > Giá trị/Số có khả năng trả nợ VND,numeric__Số cuối năm > Số đầu nămGiá trị/Số có khả năng trả nợ VND
Bên thứ ba (*),Bên thứ ba (*),Bên thứ ba (*),74.862.703.190,1.224.263.674.876,74862703190.0,1224263674876.0
Bên liên quan (Thuyết minh 34(b)),Bên liên quan (Thuyết minh 34(b)),Bên liên quan (Thuyết minh 34(b)),72.994.000,343.745.150,72994000.0,343745150.0
,,,74.935.697.190,1.224.607.420.026,74935697190.0,1224607420026.0
