row_label_raw,row_label_full,col_0,Giá trị hợp lý ghi nhận tại ngày mua VND,numeric__Giá trị hợp lý ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,11.668.828,11668828.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,92.812.500.000,92812500000.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,135.791.365,135791365.0
,,,92.959.960.193,92959960193.0
Tài sản thuần,Tài sản > Tài sản thuần,Tài sản thuần,92.959.960.193,92959960193.0
Lợi thế thương mại,Tài sản > Lợi thế thương mại,Lợi thế thương mại,103.639.807,103639807.0
Lợi ích cổ đông không kiểm soát,Tài sản > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,200.000,200000.0
Tổng giá phí,Tài sản > Tổng giá phí,Tổng giá phí,93.063.800.000,93063800000.0
Khoản tiền thu được,Tài sản > Khoản tiền thu được,Khoản tiền thu được,11.668.828,11668828.0
Khoản tiền giá phí chưa thanh toán,Tài sản > Khoản tiền giá phí chưa thanh toán,Khoản tiền giá phí chưa thanh toán,1.399.800.000,1399800000.0
Tiền thuần chi ra,Tài sản > Tiền thuần chi ra,Tiền thuần chi ra,91.652.331.172,91652331172.0
