row_label_raw,row_label_full,col_0,Tại ngày đầu năm VND,Tăng VND,Giảm VND,Vay dài hạnđảo hạn lại trongvòng một năm VND,Đánh giá lại VND,Tại ngày cuối năm VND,numeric__Tại ngày đầu năm VND,numeric__Tăng VND,numeric__Giảm VND,numeric__Vay dài hạnđảo hạn lại trongvòng một năm VND,numeric__Đánh giá lại VND,numeric__Tại ngày cuối năm VND
Vay bên thứ ba (i),Vay bên thứ ba (i),Vay bên thứ ba (i),213.390.000.000,-,-,-,(1.800.000.000),211.590.000.000,213390000000.0,,,,-1800000000.0,211590000000.0
Vay ngân hàng (ii),Vay ngân hàng (ii),Vay ngân hàng (ii),7.856.237.254.995,1.799.935.539.819,(908.956.078.811),(446.044.410.255),-,8.301.172.305.748,7856237254995.0,1799935539819.0,-908956078811.0,-446044410255.0,,8301172305748.0
Phát hành trái phiếu (iii),Phát hành trái phiếu (iii),Phát hành trái phiếu (iii),1.184.657.966.679,-,(172.525.030.848),(848.615.235.831),-,163.517.700.000,1184657966679.0,,-172525030848.0,-848615235831.0,,163517700000.0
Nợ thuê tài chính (iv),Nợ thuê tài chính (iv),Nợ thuê tài chính (iv),9.811.837.475,-,-,(4.095.691.380),-,5.716.146.095,9811837475.0,,,-4095691380.0,,5716146095.0
,,,9.264.097.059.149,1.799.935.539.819,(1.081.481.109.659),(1.298.755.337.466),(1.800.000.000),8.681.996.151.843,9264097059149.0,1799935539819.0,-1081481109659.0,-1298755337466.0,-1800000000.0,8681996151843.0
