row_label_raw,row_label_full,Lương và thường của Chủ tịch hội đồng quản trị và Ban Tổng Giám đốc,Lương và thường của Chủ tịch hội đồng quản trị và Ban Tổng Giám đốc_1,Lương và thường của Chủ tịch hội đồng quản trị và Ban Tổng Giám đốc_2,Lương và thường của Chủ tịch hội đồng quản trị và Ban Tổng Giám đốc_3,numeric__Lương và thường của Chủ tịch hội đồng quản trị và Ban Tổng Giám đốc_1,numeric__Lương và thường của Chủ tịch hội đồng quản trị và Ban Tổng Giám đốc_2,numeric__Lương và thường của Chủ tịch hội đồng quản trị và Ban Tổng Giám đốc_3
Ông Tân Xuân Hiến,Ông Tân Xuân Hiến,Ông Tân Xuân Hiến,Chủ tịch,1.698.399.000,1.997.080.000,,1698399000.0,1997080000.0
Bà Nguyễn Thái Hà,Bà Nguyễn Thái Hà,Bà Nguyễn Thái Hà,Tổng Giám đốc,2.716.706.000,2.787.947.000,,2716706000.0,2787947000.0
Bà Nguyễn Thái Hà,Bà Nguyễn Thái Hà,Bà Nguyễn Thái Hà,Phó Tổng Giám,,,,,
Ông Lê Thanh Vinh,Bà Nguyễn Thái Hà > Ông Lê Thanh Vinh,Ông Lê Thanh Vinh,đốc thường trực,2.142.314.000,2.176.367.000,,2142314000.0,2176367000.0
Ông Nguyễn Phong Phú,Bà Nguyễn Thái Hà > Ông Nguyễn Phong Phú,Ông Nguyễn Phong Phú,Phó Tổng Giám đốc,1.592.284.000,1.610.264.959,,1592284000.0,1610264959.0
Bà Trần Thị Hồng Thẩm,Bà Nguyễn Thái Hà > Bà Trần Thị Hồng Thẩm,Bà Trần Thị Hồng Thẩm,Giám đốc tài chính,1.086.569.000,1.086.569.000,,1086569000.0,1086569000.0
