row_label_raw,row_label_full,Số dư đầu năm > Tăng trong năm > Chuyển sang TSCĐ hữu hình(Thuyết minh 12(a)),Năm nay VND > 4.876.665.739.511 > 280.491.496.970 > (4.785.213.928.359),Năm trước VND > 499.096.880.254 > 4.502.848.385.253 > (109.579.857.454),numeric__Năm nay VND > 4.876.665.739.511 > 280.491.496.970 > (4.785.213.928.359),numeric__Năm trước VND > 499.096.880.254 > 4.502.848.385.253 > (109.579.857.454)
Chuyển sang TSCĐ vô hình,Chuyển sang TSCĐ vô hình,Chuyển sang TSCĐ vô hình,-,(9.532.137.402),,-9532137402.0
Xóa số,Xóa số,Xóa số,(9.465.186.096),-,-9465186096.0,
Khác,Khác,Khác,(3.584.272.598),(6.167.531.140),-3584272598.0,-6167531140.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,358.893.849.428,4.876.665.739.511,358893849428.0,4876665739511.0
