row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,"Phương tiệnvận tải, truyền dẫnVND",Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,"numeric__Phương tiệnvận tải, truyền dẫnVND",numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,1.982.752.463.931,8.185.399.773.633,1.587.464.802.077,217.841.632.208,156.479.494.848,12.129.938.166.697,1982752463931.0,8185399773633.0,1587464802077.0,217841632208.0,156479494848.0,12129938166697.0
Mua trọng năm,Nguyên giá > Mua trọng năm,Mua trọng năm,549.723.517,11.283.337.375,-,69.666.182,727.079.818,12.629.806.892,549723517.0,11283337375.0,,69666182.0,727079818.0,12629806892.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,4.464.887.704,-,-,-,4.464.887.704,,4464887704.0,,,,4464887704.0
Chuyển từ chi phí xâydựng cơ bản dở dang(Thuyết minh 13),Nguyên giá > Chuyển từ chi phí xâydựng cơ bản dở dang(Thuyết minh 13),Chuyển từ chi phí xâydựng cơ bản dở dang(Thuyết minh 13),1.005.431.009.724,2.806.362.255.587,949.582.727.372,23.677.647.083,160.288.593,4.785.213.928.359,1005431009724.0,2806362255587.0,949582727372.0,23677647083.0,160288593.0,4785213928359.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,956.519.977.278,(956.519.977.278),-,-,-,-,956519977278.0,-956519977278.0,,,,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(23.607.471.416),-,-,-,(23.607.471.416),,-23607471416.0,,,,-23607471416.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,3.945.253.174.450,10.027.382.805.605,2.537.047.529.449,241.588.945.473,157.366.863.259,16.908.639.318.236,3945253174450.0,10027382805605.0,2537047529449.0,241588945473.0,157366863259.0,16908639318236.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày đầu năm,Khấu hao lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,645.220.772.116,1.265.882.440.437,176.663.461.809,46.689.456.330,83.593.927.500,2.218.050.058.192,645220772116.0,1265882440437.0,176663461809.0,46689456330.0,83593927500.0,2218050058192.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,134.478.880.848,447.324.079.607,83.260.942.784,21.826.989.369,4.055.027.806,690.945.920.414,134478880848.0,447324079607.0,83260942784.0,21826989369.0,4055027806.0,690945920414.0
Phân loại lại,Khấu hao lũy kế > Phân loại lại,Phân loại lại,34.182.995.310,(40.948.550.362),4.856.296.656,1.909.258.396,-,-,34182995310.0,-40948550362.0,4856296656.0,1909258396.0,,
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,-,(19.848.957.511),-,-,-,(19.848.957.511),,-19848957511.0,,,,-19848957511.0
Tại ngày cuối năm,Khấu hao lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,813.882.648.274,1.652.409.012.171,264.780.701.249,70.425.704.095,87.648.955.306,2.889.147.021.095,813882648274.0,1652409012171.0,264780701249.0,70425704095.0,87648955306.0,2889147021095.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,1.337.531.691.815,6.919.517.333.196,1.410.801.340.268,171.152.175.878,72.885.567.348,9.911.888.108.505,1337531691815.0,6919517333196.0,1410801340268.0,171152175878.0,72885567348.0,9911888108505.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,3.131.370.526.176,8.374.973.793.434,2.272.266.828.200,171.163.241.378,69.717.907.953,14.019.492.297.141,3131370526176.0,8374973793434.0,2272266828200.0,171163241378.0,69717907953.0,14019492297141.0
