row_label_raw,row_label_full,col_0,col_1,Số cuối năm > Giá trị VND,Số cuối năm > Dự phòng VND,Số đầu năm > Giá trị VND,Số đầu năm > Dự phòng VND,numeric__col_1,numeric__Số cuối năm > Giá trị VND,numeric__Số cuối năm > Dự phòng VND,numeric__Số đầu năm > Giá trị VND,numeric__Số đầu năm > Dự phòng VND
(a),(a),(a),Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,
(a),(a) > (a),(a),Tạm ứng cho nhân viên (i),46.899.177.479,-,37.444.717.317,-,,46899177479.0,,37444717317.0,
(a),(a) > (a),(a),Phải thu từ cá nhân (ii),30.000.000.000,-,,-,,30000000000.0,,,
(a),(a) > (a),(a),"Phải thu lãi tiền gửi, lãi cho vay",20.503.311.611,-,6.155.652.991,-,,20503311611.0,,6155652991.0,
(a),(a) > (a),(a),Ký quỹ thực hiện dự án (iii),2.498.897.018,-,10.967.338.798,-,,2498897018.0,,10967338798.0,
(a),(a) > (a),(a),Khác,10.873.379.945,-,5.930.460.312,-,,10873379945.0,,5930460312.0,
(a),(a) > (a),(a),,110.774.766.053,-,60.498.169.418,-,,110774766053.0,,60498169418.0,
(b),(b),(b),Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,,
(b),(b) > (b),(b),Ký quỹ thực hiện dự án (iii),18.957.800.000,-,-,-,,18957800000.0,,,
(b),(b) > (b),(b),Khác,1.899.994.997,(151.709.842),2.393.337.464,(151.709.842),,1899994997.0,-151709842.0,2393337464.0,-151709842.0
(b),(b) > (b),(b),,20.857.794.997,(151.709.842),2.393.337.464,(151.709.842),,20857794997.0,-151709842.0,2393337464.0,-151709842.0
(b),(b),(b),Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,,,,,
(b),(b),(b),Bên liên quan (Thuyết minh 34(b)),Bên liên quan (Thuyết minh 34(b)),Bên liên quan (Thuyết minh 34(b)),Bên liên quan (Thuyết minh 34(b)),Bên liên quan (Thuyết minh 34(b)),,,,,
(b),(b) > (b),(b),- Ngắn hạn,16.106.339.272,-,5.730.905.200,-,,16106339272.0,,5730905200.0,
(b),(b) > (b),(b),- Dải hạn,498.204.382,-,498.204.382,-,,498204382.0,,498204382.0,
(b),(b) > (b),(b),Bên thứ ba,115.028.017.396,(151.709.842),56.662.397.300,(151.709.842),,115028017396.0,-151709842.0,56662397300.0,-151709842.0
(b),(b) > (b),(b),,131.632.561.050,(151.709.842),62.891.506.882,(151.709.842),,131632561050.0,-151709842.0,62891506882.0,-151709842.0
